headline,date,section,url,word_count,id
Judge Rejects Guilty Plea In Bomb Plot,10/25/00,New York and Region,http://www.nytimes.com/2000/10/25/nyregion/judge-rejects-guilty-plea-in-bomb-plot.html,1077,111
NEWS SUMMARY,10/25/00,New York and Region,http://www.nytimes.com/2000/10/25/nyregion/news-summary-842770.html,994,112
Yemen Reports Arrests of Foreign-Born Arabs in Cole Attack,10/26/00,World; Washington,http://www.nytimes.com/2000/10/26/world/yemen-reports-arrests-of-foreign-born-arabs-in-cole-attack.html,817,113
INSIDE,10/26/00,Front Page; New York and Region,http://www.nytimes.com/2000/10/26/nyregion/inside-866385.html,165,114
Embassy Bombing Suspects Try to Put American Courts on Trial,10/26/00,Washington; New York and Region,http://www.nytimes.com/2000/10/26/nyregion/embassy-bombing-suspects-try-to-put-american-courts-on-trial.html,825,115
How a Mighty Power Was Humbled by a Little Skiff,10/28/00,World; Washington,http://www.nytimes.com/2000/10/28/world/how-a-mighty-power-was-humbled-by-a-little-skiff.html,1258,116
October 22-28; Arrests in Cole Attack,10/29/00,Week in Review,http://www.nytimes.com/2000/10/29/weekinreview/october-22-28-arrests-in-cole-attack.html,79,117
Persecution Charged in Ex-Soviet Republic,10/29/00,World,http://www.nytimes.com/2000/10/29/world/persecution-charged-in-ex-soviet-republic.html,1528,118
Yemen Restricting F.B.I. Access to Suspects in Cole Bombing,10/29/00,World,http://www.nytimes.com/2000/10/29/world/yemen-restricting-fbi-access-to-suspects-in-cole-bombing.html,1155,119
Investigation of Attack on U.S. Destroyer Moving Slowly,10/30/00,World; Washington,http://www.nytimes.com/2000/10/30/world/investigation-of-attack-on-us-destroyer-moving-slowly.html,930,120
Ship Attack Suspects Seemed Out of Place,10/31/00,World; Front Page; Washington,http://www.nytimes.com/2000/10/31/world/ship-attack-suspects-seemed-out-of-place.html,2156,121
Navy Ships Avoiding Suez Canal Since Destroyer Bombing,10/31/00,World; Washington,http://www.nytimes.com/2000/10/31/world/navy-ships-avoiding-suez-canal-since-destroyer-bombing.html,479,122
F.B.I. and Yemen Said to Be Near an Agreement on Investigation of the Cole Blast,11/2/00,World; Washington,http://www.nytimes.com/2000/11/02/world/fbi-and-yemen-said-to-be-near-an-agreement-on-investigation-of-the-cole-blast.html,890,123
2 in Terror Case Suspected in Stabbing of Guard at Federal Jail,11/2/00,Washington; New York and Region,http://www.nytimes.com/2000/11/02/nyregion/2-in-terror-case-suspected-in-stabbing-of-guard-at-federal-jail.html,566,124
Officials See Escape Bid In Jail Attack On a Guard,11/3/00,New York and Region,http://www.nytimes.com/2000/11/03/nyregion/officials-see-escape-bid-in-jail-attack-on-a-guard.html,740,125
Taliban and Opposition Forces Are Said to Agree to Peace Talks,11/4/00,World,http://www.nytimes.com/2000/11/04/world/taliban-and-opposition-forces-are-said-to-agree-to-peace-talks.html,523,126
Reporter's Notebook; Stabbing May End Debate on Restrictions for Terrorism Suspects,11/5/00,Washington; New York and Region,http://www.nytimes.com/2000/11/05/nyregion/reporter-s-notebook-stabbing-may-end-debate-restrictions-for-terrorism-suspects.html,825,127
Remote Yemen May Be Key to Terrorist's Past and Future,11/5/00,World; Washington,http://www.nytimes.com/2000/11/05/world/remote-yemen-may-be-key-to-terrorist-s-past-and-future.html,2221,128
Cornered Afghan Foes Hope Winter Will Slow the Taliban,11/6/00,World; Front Page,http://www.nytimes.com/2000/11/06/world/cornered-afghan-foes-hope-winter-will-slow-the-taliban.html,1770,129
A Glimpse at the Alliances of Terror,11/7/00,Opinion,http://www.nytimes.com/2000/11/07/opinion/a-glimpse-at-the-alliances-of-terror.html,777,130
Failed Plan To Bomb A U.S. Ship Is Reported,11/10/00,World; Washington,http://www.nytimes.com/2000/11/10/world/failed-plan-to-bomb-a-us-ship-is-reported.html,790,131
November 5-11; An Earlier Plot Against a U.S. Warship,11/12/00,Week in Review,http://www.nytimes.com/2000/11/12/weekinreview/november-5-11-an-earlier-plot-against-a-us-warship.html,72,132
Reporter's Notebook; Quandary in Terror Case: Can Counsel Be Witness?,11/12/00,New York and Region,http://www.nytimes.com/2000/11/12/nyregion/reporter-s-notebook-quandary-in-terror-case-can-counsel-be-witness.html,813,133
Lawyers in Terror Case Say Client Access Was Blocked,11/17/00,Washington; New York and Region,http://www.nytimes.com/2000/11/17/nyregion/lawyers-in-terror-case-say-client-access-was-blocked.html,670,134
"Suspect in Terror Case Is Mistreated, Wife Says",11/22/00,New York and Region,http://www.nytimes.com/2000/11/22/nyregion/suspect-in-terror-case-is-mistreated-wife-says.html,706,135
NEWS SUMMARY,11/23/00,New York and Region,http://www.nytimes.com/2000/11/23/nyregion/news-summary-348163.html,1120,136
Yemeni Cites Cole Suspects Seen as Linked to bin Laden,11/23/00,World; Washington,http://www.nytimes.com/2000/11/23/world/yemeni-cites-cole-suspects-seen-as-linked-to-bin-laden.html,1103,137
NEWS SUMMARY,11/26/00,New York and Region,http://www.nytimes.com/2000/11/26/nyregion/news-summary-389730.html,507,138
Yemen Links to bin Laden Gnaw at F.B.I. in Cole Inquiry,11/26/00,World; Washington,http://www.nytimes.com/2000/11/26/world/yemen-links-to-bin-laden-gnaw-at-fbi-in-cole-inquiry.html,2007,139
Judge Orders Confiscation Of Papers in Terrorism Case,11/29/00,Washington; New York and Region,http://www.nytimes.com/2000/11/29/nyregion/judge-orders-confiscation-of-papers-in-terrorism-case.html,709,140
"In Terrorism Trial, Just Picking the Jurors Is a Challenge",12/3/00,Washington; New York and Region,http://www.nytimes.com/2000/12/03/nyregion/in-terrorism-trial-just-picking-the-jurors-is-a-challenge.html,1514,141
Jordan Plans New Terror Trial Of Muslim Militant Syria Seized,12/5/00,World,http://www.nytimes.com/2000/12/05/world/jordan-plans-new-terror-trial-of-muslim-militant-syria-seized.html,442,142
Suspect in New Year's Terror Plot Is Arrested in Algeria,12/7/00,World; Washington,http://www.nytimes.com/2000/12/07/world/suspect-in-new-year-s-terror-plot-is-arrested-in-algeria.html,902,143
U.S. and Russia Ask Harsh Sanctions on Afghanistan,12/8/00,World; Washington,http://www.nytimes.com/2000/12/08/world/us-and-russia-ask-harsh-sanctions-on-afghanistan.html,1086,144
Two Primary Figures Emerge in Bombing of the Cole,12/8/00,World; Washington,http://www.nytimes.com/2000/12/08/world/two-primary-figures-emerge-in-bombing-of-the-cole.html,947,145
NEWS SUMMARY,12/8/00,New York and Region,http://www.nytimes.com/2000/12/08/nyregion/news-summary-585505.html,1072,146
"Defendant In Bombings Faking Illness, Judge Is Told",12/12/00,New York and Region,http://www.nytimes.com/2000/12/12/nyregion/defendant-in-bombings-faking-illness-judge-is-told.html,793,147
"Bombing Suspect Threatened His Interrogators, They Testify",12/13/00,Washington; New York and Region,http://www.nytimes.com/2000/12/13/nyregion/bombing-suspect-threatened-his-interrogators-they-testify.html,541,148
WORLD BRIEFING,12/13/00,World,http://www.nytimes.com/2000/12/13/world/world-briefing.html,1139,149
Yemenis Say Saudi Man Is Top Suspect In Cole Attack,12/13/00,World; Washington,http://www.nytimes.com/2000/12/13/world/yemenis-say-saudi-man-is-top-suspect-in-cole-attack.html,772,150
NEWS SUMMARY,12/15/00,New York and Region,http://www.nytimes.com/2000/12/15/nyregion/news-summary-702285.html,1196,151
"Fearing Terrorism, U.S. Keeps Consulates in Turkey Closed",12/15/00,World; Washington,http://www.nytimes.com/2000/12/15/world/fearing-terrorism-us-keeps-consulates-in-turkey-closed.html,412,152
Yemeni on Delicate Path in bin Laden Hunt,12/15/00,World; Washington,http://www.nytimes.com/2000/12/15/world/yemeni-on-delicate-path-in-bin-laden-hunt.html,1419,153
Judge Rules Defendant's Amnesia Is Feigned in Terror Case,12/16/00,Washington; New York and Region,http://www.nytimes.com/2000/12/16/nyregion/judge-rules-defendant-s-amnesia-is-feigned-in-terror-case.html,657,154
One Sheik's Mission: To Teach the Young to Despise Western Culture,12/17/00,World,http://www.nytimes.com/2000/12/17/world/one-sheik-s-mission-to-teach-the-young-to-despise-western-culture.html,2379,155
Ripples From Afghanistan,12/17/00,Opinion,http://www.nytimes.com/2000/12/17/opinion/ripples-from-afghanistan.html,473,156
A Sheik's Lessons: Hatred for the West,12/17/00,World,http://www.nytimes.com/2000/12/17/world/a-sheik-s-lessons-hatred-for-the-west.html,111,157
Foreign Affairs; The Powell Perplex,12/19/00,Opinion,http://www.nytimes.com/2000/12/19/opinion/foreign-affairs-the-powell-perplex.html,753,158
Tough Sanctions Imposed on Taliban Government Split U.N.,12/20/00,World; Washington,http://www.nytimes.com/2000/12/20/world/tough-sanctions-imposed-on-taliban-government-split-un.html,909,159
Government Says Attack on Guard Was Part of Escape Plan,12/21/00,Washington; New York and Region,http://www.nytimes.com/2000/12/21/nyregion/government-says-attack-on-guard-was-part-of-escape-plan.html,827,160
WORLD BRIEFING,12/21/00,World,http://www.nytimes.com/2000/12/21/world/world-briefing.html,857,161
INSIDE,12/22/00,Front Page; New York and Region,http://www.nytimes.com/2000/12/22/nyregion/inside-106135.html,83,162
Informer's Part in Terror Case Is Detailed,12/22/00,Washington; New York and Region,http://www.nytimes.com/2000/12/22/nyregion/informer-s-part-in-terror-case-is-detailed.html,1000,163
U.N. Workers Return to Afghanistan After Taliban Safety Pledge,12/25/00,World,http://www.nytimes.com/2000/12/25/world/un-workers-return-to-afghanistan-after-taliban-safety-pledge.html,548,164
World Briefing,12/29/00,World,http://www.nytimes.com/2000/12/29/world/world-briefing.html,1140,165
"Where bin Laden Has Roots, His Mystique Grows",12/31/00,World,http://www.nytimes.com/2000/12/31/world/where-bin-laden-has-roots-his-mystique-grows.html,1475,166
Corrections,1/1/01,Corrections; New York and Region,http://www.nytimes.com/2001/01/01/nyregion/c-corrections-240559.html,45,167
First Day of Jury Selection In U.S. Embassy Bombings,1/3/01,Washington; New York and Region,http://www.nytimes.com/2001/01/03/nyregion/first-day-of-jury-selection-in-us-embassy-bombings.html,800,168
Jury Selection in Embassy Bombing Case Faces Hardship Challenges,1/4/01,Washington; New York and Region,http://www.nytimes.com/2001/01/04/nyregion/jury-selection-in-embassy-bombing-case-faces-hardship-challenges.html,851,169
