headline,date,section,url,word_count
Republican Candidates Aim at Obama Foreign Policy,2011-12-07,U.S.,http://www.nytimes.com/2011/12/07/us/politics/obama-foreign-policy-a-republican-target.html,1086
"Dec. 7, 1941 | Japan Attacks Pearl Harbor",2011-12-07,U.S.,http://learning.blogs.nytimes.com/2011/12/07/dec-7-1941-japan-attacks-pearl-harbor/,555
"Dec. 7, 1941 | Japan Attacks Pearl Harbor",2011-12-07,U.S.,http://learning.blogs.nytimes.com/2011/12/07/dec-7-1941-japan-attacks-pearl-harbor/,543
Gingrich Sees Growing Radical Islamist Threat,2011-12-07,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/07/gingrich-sees-growing-radical-islamist-threat/,315
Gingrich Sees Growing Radical Islamist Threat,2011-12-07,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/07/gingrich-sees-growing-radical-islamist-threat/,308
Drone Crash in Iran Reveals Secret U.S. Surveillance Effort,2011-12-08,World,http://www.nytimes.com/2011/12/08/world/middleeast/drone-crash-in-iran-reveals-secret-us-surveillance-bid.html,994
"G.O.P. Candidates, at Jewish Coalition, Pledge to Be Israel’s Best Friends",2011-12-08,U.S.,http://www.nytimes.com/2011/12/08/us/politics/gop-candidates-at-jewish-coalition-pledge-to-be-israels-best-friends.html,803
2011: The Year in Memes,2011-12-08,Technology,http://bits.blogs.nytimes.com/2011/12/08/2011-the-year-in-memes/,194
Iran Shows Video It Says Is of U.S. Drone,2011-12-09,World,http://www.nytimes.com/2011/12/09/world/middleeast/iran-shows-us-drone-on-tv-and-lodges-a-protest.html,824
Obama Backs Limit on Sale to Teenagers of Morning-After Pill,2011-12-09,U.S.,http://www.nytimes.com/2011/12/09/us/politics/obama-expresses-support-for-plan-b-decision.html,621
A Wartime Leader Ends a War He Never Wanted,2011-12-09,World,http://www.nytimes.com/2011/12/09/world/middleeast/president-obama-ends-a-war-he-never-wanted.html,915
Obama Tries on the Cowboy Hat,2011-12-09,Opinion,http://loyalopposition.blogs.nytimes.com/2011/12/09/obama-tries-on-the-cowboy-hat/,374
Obama Tries on the Cowboy Hat,2011-12-09,Opinion,http://takingnote.blogs.nytimes.com/2011/12/09/obama-tries-on-the-cowboy-hat/,369
Our Own Worst Enemies,2011-12-11,Magazine,http://www.nytimes.com/2011/12/11/magazine/a-o-scott-screen-villains.html,1770
China’s Spies Are Catching Up,2011-12-11,Opinion,http://www.nytimes.com/2011/12/11/opinion/sunday/chinas-spies-are-catching-up.html,1060
C.I.A. Leaves Base in Pakistan Used for Drone Strikes,2011-12-12,World,http://www.nytimes.com/2011/12/12/world/asia/cia-leaves-pakistan-base-used-for-drone-strikes.html,502
"In CBS Interview, Obama Makes Case for Second Term",2011-12-12,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/12/in-cbs-interview-obama-makes-case-for-second-term/,521
"In CBS Interview, Obama Makes Case for Second Term",2011-12-12,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/12/in-cbs-interview-obama-makes-case-for-second-term/,510
Guant&aacute;namo Forever?,2011-12-13,Opinion,http://www.nytimes.com/2011/12/13/opinion/guantanamo-forever.html,422
The President and the Generals,2011-12-13,Opinion,http://www.nytimes.com/2011/12/13/opinion/the-president-and-the-generals.html,716
"Online Sharing: The How, What and When of 2011",2011-12-14,Business,http://mediadecoder.blogs.nytimes.com/2011/12/14/online-sharing-the-how-what-and-when-of-2011/,364
"Online Sharing: The How, What and When of 2011",2011-12-14,Business,http://mediadecoder.blogs.nytimes.com/2011/12/14/online-sharing-the-how-what-and-when-of-2011/,357
Obama’s Speech to Troops at Fort Bragg,2011-12-15,U.S.,http://www.nytimes.com/2011/12/15/us/politics/obamas-speech-to-troops-at-fort-bragg.html,3764
"Gingrich’s Foreign Policy Words Summon the Cold War, but Enemy Is Iran",2011-12-15,U.S.,http://www.nytimes.com/2011/12/15/us/politics/gingrichs-foreign-policy-words-summon-the-cold-war-but-enemy-is-iran.html,1058
Mitt’s Zest for Zings,2011-12-15,Opinion,http://www.nytimes.com/2011/12/15/opinion/collins-mitts-zest-for-zings.html,821
What's On Today,2011-12-15,Arts,http://query.nytimes.com/gst/fullpage.html?res=9D03E1DE103BF936A25751C1A9679D8B63,701
"Watch Out, America: Russell Brand is Coming to FX",2011-12-15,Arts,http://artsbeat.blogs.nytimes.com/2011/12/15/watch-out-america-russell-brand-is-coming-to-fx/,285
"Watch Out, America: Russell Brand is Coming to FX",2011-12-15,Arts,http://artsbeat.blogs.nytimes.com/2011/12/15/watch-out-america-russell-brand-is-coming-to-fx/,281
News Flash: Progress Happens,2011-12-15,Opinion,http://opinionator.blogs.nytimes.com/2011/12/15/news-flash-progress-happens/,2162
News Flash: Progress Happens,2011-12-15,Opinion,http://opinionator.blogs.nytimes.com/2011/12/15/news-flash-progress-happens/,2143
"In Iowa, British-Accented Radio Host Draws G.O.P. Hopefuls",2011-12-16,U.S.,http://www.nytimes.com/2011/12/16/us/politics/iowa-simon-conway-radio-show-draws-2012-gop-hopefuls.html,1141
Ruling Against Iran in Sept. 11 Case,2011-12-16,U.S.,http://www.nytimes.com/2011/12/16/us/ruling-against-iran-in-sept-11-case.html,175
2011 in Rhyme and Headlines: The 'Year in Rap' and Our Annual News Quiz,2011-12-16,U.S.,http://learning.blogs.nytimes.com/2011/12/16/2011-in-rhyme-and-headlines-the-year-in-rap-and-our-annual-news-quiz/,2218
Russell Brand as TV Host,2011-12-17,Arts,http://query.nytimes.com/gst/fullpage.html?res=9902E6D61E3BF934A25751C1A9679D8B63,302
The Pakistanis Have a Point,2011-12-18,Magazine,http://www.nytimes.com/2011/12/18/magazine/bill-keller-pakistan.html,5969
The Pungent Aroma of Paranoia,2011-12-18,Opinion,http://www.nytimes.com/2011/12/18/opinion/sunday/dowd-the-pungent-aroma-of-paranoia.html,814
"Iraq, a War Obama Didn’t Want, Shaped His Foreign Policy",2011-12-18,U.S.,http://www.nytimes.com/2011/12/18/us/politics/iraq-war-shaped-obamas-foreign-policy-white-house-memo.html,1103
Secretary Expects Cuts in Marines and the Navy,2011-12-18,World,http://www.nytimes.com/2011/12/18/world/asia/secretary-eyes-cuts-in-marines-and-the-navy.html,675
Mitt Romney Makes a Rare Sunday Television Show Appearance,2011-12-18,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/18/mitt-romney-makes-a-rare-sunday-television-show-appearance/,1175
Mitt Romney Makes a Rare Sunday Television Show Appearance,2011-12-18,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/18/mitt-romney-makes-a-rare-sunday-television-show-appearance/,1152
States of Conflict: A Final Update,2011-12-19,Opinion,http://www.nytimes.com/2011/12/19/opinion/states-of-conflict-a-final-update.html,580
Pakistani Crisis Prompts Leader to Race Home,2011-12-19,World,http://www.nytimes.com/2011/12/19/world/asia/president-back-in-pakistan-as-tensions-with-army-rise.html,1291
What Will You Remember Most From 2011? ,2011-12-19,U.S.,http://learning.blogs.nytimes.com/2011/12/19/what-will-you-remember-most-from-2011/,387
What Will You Remember Most From 2011?,2011-12-19,U.S.,http://learning.blogs.nytimes.com/2011/12/19/what-will-you-remember-most-from-2011/,381
Decision to Investigate Anti-Army Memo Is Delayed in Pakistan,2011-12-20,World,http://www.nytimes.com/2011/12/20/world/asia/decision-to-investigate-anti-army-memo-is-delayed-in-pakistan.html,509
Perry Dismisses Gingrich's Complaint of 'Negative' Campaigning,2011-12-20,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/20/perry-not-concerned-about-negative-tone-of-campaign/,407
Perry Dismisses Gingrich's Complaint of 'Negative' Campaigning,2011-12-20,U.S.,http://thecaucus.blogs.nytimes.com/2011/12/20/perry-not-concerned-about-negative-tone-of-campaign/,399
Explaining Obama's Approval Rating Bounce,2011-12-20,U.S.,http://fivethirtyeight.blogs.nytimes.com/2011/12/20/explaining-obamas-approval-rating-bounce/,934
Explaining Obama's Approval Rating Bounce,2011-12-20,U.S.,http://fivethirtyeight.blogs.nytimes.com/2011/12/20/explaining-obamas-approval-rating-bounce/,921
U.S. General in Afghanistan Says Troops May Stay Past 2014,2011-12-21,World,http://www.nytimes.com/2011/12/21/world/asia/american-commander-in-afghanistan-john-allen-hints-at-post-2014-military-presence.html,1065
Obama Gets a Lift From Tax Battle With Republicans,2011-12-22,U.S.,http://www.nytimes.com/2011/12/22/us/politics/obama-reaches-out-to-congressional-leaders-over-payroll-tax-standoff.html,1325
Pakistani Premier Warns of Plotting by Military,2011-12-23,World,http://www.nytimes.com/2011/12/23/world/asia/pakistani-premier-yousaf-raza-gilani-lashes-out-at-his-military.html,430
"Rumors Buzz, but Pakistan’s Military Denies Talk of Coup",2011-12-24,World,http://www.nytimes.com/2011/12/24/world/asia/pakistan-military-seeking-to-quash-rumors-denies-conspiracy-to-seize-power.html,895
THE WORLD,2011-12-25,Sunday Review,http://www.nytimes.com/slideshow/2011/12/25/sunday-review/25YIP_WORLD.html,12
The Lives They Lived,2011-12-25,Magazine,http://www.nytimes.com/2011/12/25/magazine/editors-note.html,134
The World,2011-12-25,Opinion,http://www.nytimes.com/2011/12/25/opinion/sunday/the-world.html,236
U.S. Embraces a Low-Key Response to Turmoil in Iraq,2011-12-25,World,http://www.nytimes.com/2011/12/25/world/middleeast/us-loses-leverage-in-iraq-now-that-troops-are-out.html,1400
The World,2011-12-25,Opinion,http://query.nytimes.com/gst/fullpage.html?res=9A01E3DC153DF936A15751C1A9679D8B63,219
Afghanistan Low on News Agenda,2011-12-25,Business,http://mediadecoder.blogs.nytimes.com/2011/12/25/afghanistan-low-on-news-agenda/,434
Afghanistan Low on News Agenda,2011-12-25,Business,http://mediadecoder.blogs.nytimes.com/2011/12/25/afghanistan-low-on-news-agenda/,425
U.S. Prepares for a Curtailed Relationship With Pakistan,2011-12-26,World,http://www.nytimes.com/2011/12/26/world/asia/us-preparing-for-pakistan-to-restrict-support-for-afghan-war.html,1308
Afghanistan Low on News Agenda,2011-12-26,Business,http://query.nytimes.com/gst/fullpage.html?res=9D02E1DC103DF935A15751C1A9679D8B63,452
"TimesCast | December 28, 2011",2011-12-28,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000001250541/timescast--december-28-2011.html,23
2011: The Death of Osama bin Laden,2011-12-28,World,http://www.nytimes.com/video/world/100000001250735/2011-the-death-of-osama-bin-laden.html,17
Answers to the Year in Questions,2011-12-30,Opinion,http://www.nytimes.com/2011/12/30/opinion/answers-to-the-year-in-questions.html,550
Pakistani Panel to Investigate Memo,2011-12-31,World,http://www.nytimes.com/2011/12/31/world/asia/pakistani-panel-to-investigate-memo.html,569
Inside the List,2012-01-01,Books,http://www.nytimes.com/2012/01/01/books/review/inside-the-list.html,612
The Pakistanis Have a Point,2012-01-01,Magazine,http://www.nytimes.com/2012/01/01/magazine/reply-all-pakistanis-have-a-point.html,357
Which Words Will Live On?,2012-01-01,Opinion,http://www.nytimes.com/2012/01/01/opinion/sunday/the-words-that-defined-2011.html,1099
Top Social Topics in '11: Bin Laden and Mubarak,2012-01-01,Business,http://mediadecoder.blogs.nytimes.com/2012/01/01/top-social-topics-in-11-bin-laden-and-mubarak/,607
Top Social Topics in '11: Bin Laden and Mubarak,2012-01-01,Business,http://mediadecoder.blogs.nytimes.com/2012/01/01/top-social-topics-in-11-bin-laden-and-mubarak/,593
Top Social Topics in '11: Bin Laden and Mubarak,2012-01-02,Technology; Business,http://query.nytimes.com/gst/fullpage.html?res=9D04E1DD1E3CF931A35752C0A9649D8B63,625
Pakistani Panel Begins Inquiry Into Memo,2012-01-03,World,http://www.nytimes.com/2012/01/03/world/asia/pakistani-panel-begins-inquiry-into-memo.html,234
The Next War,2012-01-03,World,http://atwar.blogs.nytimes.com/2012/01/03/the-next-war/,810
The Next War,2012-01-03,World,http://atwar.blogs.nytimes.com/2012/01/03/the-next-war/,797
Text: Obama’s Remarks on Military Spending,2012-01-06,U.S.,http://www.nytimes.com/2012/01/06/us/text-obamas-remarks-on-military-spending.html,1572
Obama Puts His Stamp on Strategy for a Leaner Military,2012-01-06,U.S.,http://www.nytimes.com/2012/01/06/us/obama-at-pentagon-to-outline-cuts-and-strategic-shifts.html,919
Film About the Hunt for Bin Laden Leads to a Pentagon Investigation,2012-01-07,Movies,http://www.nytimes.com/2012/01/07/movies/film-on-bin-laden-hunt-leads-to-pentagon-investigation.html,924
Inside the Times,2012-01-07,New York and Region,http://query.nytimes.com/gst/fullpage.html?res=9F04E2DA1F3FF934A35752C0A9649D8B63,571
Notes From a Guantánamo Survivor,2012-01-08,Opinion,http://www.nytimes.com/2012/01/08/opinion/sunday/notes-from-a-guantanamo-survivor.html,1186
Lull in Strikes by U.S. Drones Aids Militants in Pakistan,2012-01-08,World,http://www.nytimes.com/2012/01/08/world/asia/lull-in-us-drone-strikes-aids-pakistan-militants.html,1254
Kitty Hotels and Mob Chefs,2012-01-08,Magazine,http://www.nytimes.com/2012/01/08/magazine/kitty-hotels-and-mob-chefs.html,1025
"A Diplomat in a Gilded Cage, Feeling Trapped and Not Entirely Safe",2012-01-09,World,http://www.nytimes.com/2012/01/09/world/asia/husain-haqqani-confined-in-pakistan-amid-legal-battle.html,911
Iran Calls Video Games Part of C.I.A. Plot,2012-01-09,,http://thelede.blogs.nytimes.com/2012/01/09/iran-calls-video-games-part-of-c-i-a-plot/,1055
Iran Calls Video Games Part of C.I.A. Plot,2012-01-09,,http://thelede.blogs.nytimes.com/2012/01/09/iran-calls-video-games-part-of-c-i-a-plot/,1039
Corrections: January 10,2012-01-10,Corrections,http://www.nytimes.com/2012/01/10/pageoneplus/corrections-january-10.html,683
Corrections,2012-01-10,Corrections; New York and Region,http://query.nytimes.com/gst/fullpage.html?res=9804E0D7123EF933A25752C0A9649D8B63,113
Secretary’s Ouster in Pakistan Adds to Tension With Army,2012-01-12,World,http://www.nytimes.com/2012/01/12/world/asia/firing-of-pakistans-defense-secretary-raises-tension-with-army.html,805
Pakistan’s Besieged Government,2012-01-12,Opinion,http://www.nytimes.com/2012/01/12/opinion/pakistans-besieged-government.html,546
"Against Odds, Path Opens Up for U.S.-Taliban Talks",2012-01-12,World,http://www.nytimes.com/2012/01/12/world/asia/quest-for-taliban-peace-talks-at-key-juncture.html,1672
"Amid Crisis, President of Pakistan Visits Dubai",2012-01-13,World,http://www.nytimes.com/2012/01/13/world/asia/amid-crisis-pakistan-president-asif-ali-zardari-heads-again-to-dubai.html,566
Student Contest Winners | The 2011 'Year in Rap',2012-01-13,U.S.,http://learning.blogs.nytimes.com/2012/01/13/student-contest-winners-the-2011-year-in-rap/,1505
Romney Rolls Out the Big Guns in S.C.,2012-01-13,U.S.,http://thecaucus.blogs.nytimes.com/2012/01/13/romney-rolls-out-the-big-guns-in-s-c/,1323
Romney Rolls Out the Big Guns in S.C.,2012-01-13,U.S.,http://thecaucus.blogs.nytimes.com/2012/01/13/romney-rolls-out-the-big-guns-in-s-c/,1300
"As Crisis Festers, Pakistani Government Plans Confidence Vote",2012-01-14,World,http://www.nytimes.com/2012/01/14/world/asia/amid-crisis-parliament-in-pakistan-to-vote-on-affirming-civilian-rule.html,1129
Man Convicted in Terrorism Conspiracy Is Denied New Trial,2012-01-14,N.Y. / Region,http://www.nytimes.com/2012/01/14/nyregion/el-sayyid-a-nosair-killer-of-rabbi-kahane-is-denied-new-trial.html,435
"In Pakistan, Talks Aim to Ease Split",2012-01-15,World,http://www.nytimes.com/2012/01/15/world/asia/pakistan-army-and-civilian-leaders-meet-amid-bitter-split.html,609
"Spend, Spend, Spend. It’s the American Way.",2012-01-15,Business Day,http://www.nytimes.com/2012/01/15/business/consumer-spending-as-an-american-virtue.html,1032
Bomb Targets Shiite Muslims at Service in Pakistan,2012-01-16,World,http://www.nytimes.com/2012/01/16/world/asia/shiite-muslims-target-of-bomb-blast-in-southern-pakistan.html,687
Pakistan Court Orders Prime Minister to Testify,2012-01-17,World,http://www.nytimes.com/2012/01/17/world/asia/pakistan-court-orders-prime-minister-to-testify.html,765
Iran Face-Off Testing Obama the Candidate,2012-01-17,World,http://www.nytimes.com/2012/01/17/world/middleeast/faceoff-with-iran-complicates-obamas-re-election-campaign.html,1200
Iran Offers U.S. Tiny Replica of Lost Drone,2012-01-17,,http://thelede.blogs.nytimes.com/2012/01/17/iran-offers-u-s-tiny-replica-of-lost-drone/,322
Iran Offers U.S. Tiny Replica of Lost Drone,2012-01-17,,http://thelede.blogs.nytimes.com/2012/01/17/iran-offers-u-s-tiny-replica-of-lost-drone/,320
Pakistan’s Prime Minister Makes Plea to Avoid Jail Time,2012-01-20,World,http://www.nytimes.com/2012/01/20/world/asia/pakistan-prime-minister-gilani-appears-before-court.html,748
"Drone Strike Kills Qaeda Operative in Pakistan, U.S. Says",2012-01-20,World,http://www.nytimes.com/2012/01/20/world/asia/us-says-qaeda-operative-killed-in-drone-strike.html,409
France Weighs Pullout After 4 of Its Soldiers Are Killed,2012-01-21,World,http://www.nytimes.com/2012/01/21/world/europe/sarkozy-weighs-afghan-withdrawal-after-4-french-troops-killed.html,1216
"Pakistan Court Widens Role, Stirring Fears for Stability",2012-01-23,World,http://www.nytimes.com/2012/01/23/world/asia/pakistan-high-court-widens-role-and-stirs-fears.html,1548
Pakistan Rejects U.S. Account of Clash That Ended With Airstrike,2012-01-24,World,http://www.nytimes.com/2012/01/24/world/asia/pakistan-rejects-united-states-account-of-november-clash-that-killed-pakistani-soldiers.html,782
Live Blog: The State of the Union,2012-01-24,U.S.,http://thecaucus.blogs.nytimes.com/2012/01/24/live-blog-the-state-of-the-union/,9733
The State of the Union Address: And So It Begins,2012-01-24,Opinion,http://loyalopposition.blogs.nytimes.com/2012/01/24/the-state-of-the-union-address-and-so-it-begins/,523
The State of the Union Address: And So It Begins,2012-01-24,Opinion,http://takingnote.blogs.nytimes.com/2012/01/24/the-state-of-the-union-address-and-so-it-begins/,514
"In Address, Obama Makes Pitch for Economic Fairness",2012-01-25,U.S.,http://www.nytimes.com/2012/01/25/us/politics/state-of-the-union-2012.html,1416
President Obama’s State of the Union Address,2012-01-25,U.S.,http://www.nytimes.com/2012/01/25/us/politics/state-of-the-union-2012-transcript.html,7169
U.S. Swoops In to Free 2 From Pirates in Somali Raid,2012-01-26,World,http://www.nytimes.com/2012/01/26/world/africa/us-raid-frees-2-hostages-from-somali-pirates.html,1212
Pakistan Leader Softens Criticism of Army and Spy Agency,2012-01-26,World,http://www.nytimes.com/2012/01/26/world/asia/pakistan-leader-softens-criticism-of-army-and-spy-agency.html,683
The Death of a Poser,2012-01-27,Opinion,http://latitude.blogs.nytimes.com/2012/01/27/jonathan-jack-idema-dies-in-obscurity/,584
The Death of a Poser,2012-01-27,Opinion,http://latitude.blogs.nytimes.com/2012/01/27/jonathan-jack-idema-dies-in-obscurity/,576
Rockets Hit Pakistan Military School Near Bin Laden Compound,2012-01-28,World,http://www.nytimes.com/2012/01/28/world/asia/in-pakistan-rockets-fired-near-osama-bin-laden-house.html,449
Panetta Credits Pakistani Doctor in Bin Laden Raid,2012-01-29,World,http://www.nytimes.com/2012/01/29/world/asia/panetta-credits-pakistani-doctor-in-bin-laden-raid.html,436
"From Biden, a Vivid Account of Bin Laden Decision",2012-01-30,U.S.,http://thecaucus.blogs.nytimes.com/2012/01/30/from-biden-a-vivid-account-of-bin-laden-decision/,474
"From Biden, a Vivid Account of Bin Laden Decision",2012-01-30,U.S.,http://thecaucus.blogs.nytimes.com/2012/01/30/from-biden-a-vivid-account-of-bin-laden-decision/,465
Behind The Scenes: Biden Recounts Back-and-Forth on Bin Laden Raid,2012-01-31,U.S.,http://query.nytimes.com/gst/fullpage.html?res=9905E1D7143BF932A05752C0A9649D8B63,492
How 'General Jack' Lost His Swagger,2012-01-31,,http://rendezvous.blogs.nytimes.com/2012/01/31/how-general-jack-lost-his-swagger/,507
How 'General Jack' Lost His Swagger,2012-01-31,World,http://rendezvous.blogs.nytimes.com/2012/01/31/how-general-jack-lost-his-swagger/,500
Intelligence Report Lists Iran and Cyberattacks as Leading Concerns,2012-02-01,World,http://www.nytimes.com/2012/02/01/world/intelligence-chief-sees-al-qaeda-likely-to-continue-fragmenting.html,1177
Who&#8217;s Tough Enough?,2012-02-01,Opinion,http://www.nytimes.com/2012/02/01/opinion/dowd-whos-tough-enough.html,834
Obama’s Oblique Attacks Hint at Romney as Expected Rival,2012-02-02,U.S.,http://www.nytimes.com/2012/02/02/us/politics/obama-proposes-mortgage-relief-with-romney-in-mind.html,959
Pakistan Court to Charge Prime Minister With Contempt,2012-02-03,World,http://www.nytimes.com/2012/02/03/world/asia/contempt-charge-for-pakistan-prime-minister-gilani.html,924
Republican Sizes Up the New 8th District,2012-02-03,U.S.,http://www.nytimes.com/2012/02/03/us/joe-walsh-republican-sizes-up-the-new-8th-district-of-chicago.html,765
"Jobless Rate Falls to 8.3%, Altering Face of Campaign",2012-02-04,U.S.,http://www.nytimes.com/2012/02/04/us/politics/improved-job-picture-poses-risks-to-obama-and-romney.html,1376
"Obama Got Message Supporting Talks With Taliban, but Maybe Not From Its Leader",2012-02-04,World,http://www.nytimes.com/2012/02/04/world/asia/obama-got-letter-on-talks-maybe-from-taliban-leader.html,749
Court Challenges Put Unusual Spotlight on Pakistani Spy Agency,2012-02-07,World,http://www.nytimes.com/2012/02/07/world/asia/isi-in-pakistan-faces-court-cases.html,1395
U.S. Sending Commander to Repair Ties With Pakistan,2012-02-07,World,http://www.nytimes.com/2012/02/07/world/asia/us-sending-gen-james-n-mattis-to-repair-pakistan-ties.html,1099
Hurray for Guantanamo Bay,2012-02-09,Opinion,http://loyalopposition.blogs.nytimes.com/2012/02/09/hurray-for-guantanamo-bay/,441
Hurray for Guantanamo Bay,2012-02-09,Opinion,http://takingnote.blogs.nytimes.com/2012/02/09/hurray-for-guantanamo-bay/,431
Bachmann Assails Obama Before Conservatives,2012-02-09,U.S.,http://thecaucus.blogs.nytimes.com/2012/02/09/bachmann-assails-obama-before-conservatives/,493
Bachmann Assails Obama Before Conservatives,2012-02-09,U.S.,http://thecaucus.blogs.nytimes.com/2012/02/09/bachmann-assails-obama-before-conservatives/,490
"In 'Act of Valor,' a Secret Military World, Approved for Public Viewing",2012-02-10,World,http://atwar.blogs.nytimes.com/2012/02/10/in-act-of-valor-a-secret-military-world-approved-for-public-viewing/,1187
"In 'Act of Valor,' a Secret Military World, Approved for Public Viewing",2012-02-10,World,http://atwar.blogs.nytimes.com/2012/02/10/in-act-of-valor-a-secret-military-world-approved-for-public-viewing/,1181
Admiral Seeks Freer Hand in Deployment of Elite Forces,2012-02-13,U.S.,http://www.nytimes.com/2012/02/13/us/admiral-pushes-for-freer-hand-in-special-forces.html,1195
Bin Laden Link to 'Demolition Man'? ,2012-02-13,,http://rendezvous.blogs.nytimes.com/2012/02/13/a-bin-laden-link-to-demolition-man/,753
Bin Laden Link to 'Demolition Man'?,2012-02-13,World,http://rendezvous.blogs.nytimes.com/2012/02/13/a-bin-laden-link-to-demolition-man/,748
Indonesia Court Accuses Militant in Bali Blasts,2012-02-14,World,http://www.nytimes.com/2012/02/14/world/asia/indonesia-court-accuses-militant-in-bali-blasts.html,159
Do Special Ops Forces Have Too Much Autonomy?,2012-02-14,Opinion,http://loyalopposition.blogs.nytimes.com/2012/02/14/do-special-ops-forces-have-too-much-autonomy/,430
Economic Growth Gives Lift to Obama in NYT/CBS Poll,2012-02-15,U.S.,http://www.nytimes.com/2012/02/15/us/politics/economic-gains-give-lift-to-obama-in-poll.html,1181
Mexico Says Supplier for Top Drug Trafficker Is Caught,2012-02-15,World,http://www.nytimes.com/2012/02/15/world/americas/mexico-says-supplier-for-sinaloa-drug-gang-is-arrested.html,498
"Sunni Extremists May Be Aiding Al Qaeda’s Ambitions in Syria, Analysts Say",2012-02-16,World,http://www.nytimes.com/2012/02/16/world/middleeast/al-qaeda-influence-suspected-in-bombings-in-syria.html,998
Would-Be Plane Bomber Is Sentenced to Life in Prison,2012-02-17,U.S.,http://www.nytimes.com/2012/02/17/us/would-be-plane-bomber-sentenced-to-life.html,790
Islamists’ Ideas on Democracy and Faith Face Test in Tunisia,2012-02-18,World,http://www.nytimes.com/2012/02/18/world/africa/tunisia-islamists-test-ideas-decades-in-the-making.html,2424
The First Marriage,2012-02-19,Books,http://www.nytimes.com/2012/02/19/books/review/the-obamas-by-jodi-kantor.html,1266
On Active Duty for the Movies (Real Ammo),2012-02-19,Movies,http://www.nytimes.com/2012/02/19/movies/act-of-valor-film-with-active-duty-members-of-navy-seals.html,1085
Beginning of the End,2012-02-19,Opinion,http://www.nytimes.com/2012/02/19/opinion/sunday/beginning-of-the-end.html,1420
"The Epoch of Clinton, So Close Yet So Far",2012-02-20,Arts,http://www.nytimes.com/2012/02/20/arts/television/clinton-on-pbs-shows-an-era-that-feels-close-yet-so-far.html,913
Republican Candidates See Opening on Israel and Iran,2012-02-21,U.S.,http://thecaucus.blogs.nytimes.com/2012/02/21/republican-candidates-see-opening-on-israel-and-iran/,1105
Fury in Pakistan After U.S. Congressman Suggests That a Province Leave,2012-02-22,World,http://www.nytimes.com/2012/02/22/world/asia/fury-in-pakistan-after-us-congressman-suggests-that-a-province-leave.html,948
Pentagon Says U.S. Citizens With Terrorism Ties Can Be Targeted in Strikes,2012-02-22,World,http://atwar.blogs.nytimes.com/2012/02/22/pentagon-says-u-s-citizens-with-terrorism-ties-can-be-targeted-in-strikes/,729
Palin Supporters Denounce HBO Movie,2012-02-22,U.S.,http://thecaucus.blogs.nytimes.com/2012/02/22/supporters-of-sarah-palin-denounce-hbo-movie/,711
Pakistan Razing House Where Bin Laden Lived,2012-02-26,World,http://www.nytimes.com/2012/02/26/world/asia/pakistan-razing-house-where-bin-laden-lived.html,963
