headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
One Man and a Global Web of Violence,"First of three articles on Osama bin Laden and the creation of Al Qaeda, Muslim terrorist group he founded 13 years ago; group's initial target was Soviet forces occupying Afghanistan, but today its enemy is United States, which it regards as an imperial power propping up corrupt and godless governments; chronology; photos (L)",Foreign Desk,"[u'AFGHANISTAN', u'RUSSIA']",6228,"In 1987, several years after he began training Arab volunteers to oust Soviet forces from Afghanistan, Osama bin Laden had a vision. The time had come, he told friends, to start a global jihad, or Islamic holy war, against the corrupt secular...",The New York Times,"[u'TERRORISM', u'ISLAM']",http://www.nytimes.com/2001/01/14/world/one-man-and-a-global-web-of-violence.html,World,2001-01-14,Series,5173f38cfdc59276ee001d66
The Bush Years; W.'s World,"James Traub article on world inhabited by George W Bush, who has rarely traveled abroad, is skeptical about getting entangled in complex foreign conflicts and wary of getting enmeshed in international organizations; president-elect, who really does know about education and no doubt other domestic issues, has picked up much of what he knows about world beyond US, except for Mexico, from bull sessions with Condoleezza Rice and band of advisers she assembled in 1999; Vice Pres-elect Cheney is almost certain to play key role on defense, with Sec Colin Powell as regent in foreign affairs and Rice herself in charge of National Security Council; other key figures noted; photos (M)",Magazine Desk,[],4973,"Foreign policy has not played a decisive role in electing a president since 1968, the height of the Vietnam War. And since 1992, when Bill Clinton recognized that the end of the cold war made George Bush's victory in the Persian Gulf very nearly...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'UNITED STATES POLITICS AND GOVERNMENT', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/01/14/magazine/the-bush-years-w-s-world.html,Magazine; Washington,2001-01-14,News,4fd24ea18eb7c8105d7f08fc
NEWS SUMMARY,,Metropolitan Desk,[],477,"INTERNATIONAL   3-13    Portrait of a Jihad Leader: Bin Laden Trains for War  Osama bin Laden, America's most wanted terror suspect, has created a kind of clearinghouse for Islamic terrorism in his Al Qaeda group, which American officials say...",The New York Times,[],http://www.nytimes.com/2001/01/14/nyregion/news-summary-437697.html,New York and Region,2001-01-14,Summary,4fd22d638eb7c8105d7ba5ca
NEWS SUMMARY,,Metropolitan Desk,[],1139,"INTERNATIONAL   A3-9    Foiled Terrorism in Jordan Illustrates bin Laden Reach  Jordanian and American officials say a thwarted terrorist attack in Jordan in late 1999 is a case study of how Osama bin Laden and his deputies, isolated in Afghanistan,...",The New York Times,[],http://www.nytimes.com/2001/01/15/nyregion/news-summary-447072.html,New York and Region,2001-01-15,Summary,4fd24f8a8eb7c8105d7f25d2
Dissecting a Terror Plot From Boston to Amman,"Second of three articles in series Holy Warriors, on global Islamic terrorism, focuses on foiled plot in Jordan, backed by Osama bin Laden, to kill hundreds of Americans, Israelis and other visitors marking dawn of year 2000; officials call plot case study of how bin Laden and his deputies, isolated in Afghanistan, have greatly extended their reach by aiding locally initiated terrorism; say Raed Hijazi, onetime Boston cabdriver of Palestinian origin being retried in case in Jordan, has given them new data on plot and its ties to Osama's Al Qaeda; maps; photos (L)",Foreign Desk,"[u'JORDAN', u'AFGHANISTAN']",3084,"After weeks of advanced training in explosives at one of Osama bin Laden's Afghan camps, Raed Hijazi, a onetime Boston cab driver, was ready for his mission. The chemicals for the explosives were stockpiled. The targets were selected, the homemade...",The New York Times,"[u'SURVEYS AND SERIES', u'ISLAM', u'TERRORISM']",http://www.nytimes.com/2001/01/15/world/dissecting-a-terror-plot-from-boston-to-amman.html,World; Front Page,2001-01-15,Series,4fd20f078eb7c8105d78125c
"Killing for the Glory of God, In a Land Far From Home","Third and final article in series, Holy Warriors, on development and spread of Islamic terrorist networks; focuses on Afghanistan, home of international terrorism that has haunted Americans for past decade; country comes closest to extremists' ideal of state ruled by strict code of Islamic law; is inspiration, essential base of operations, reservoir of potential suicide bombers and battle front where crucial ties are forged; photos; map (L)",Foreign Desk,"[u'ISRAEL', u'AFGHANISTAN']",2906,"Muhammad Khaled Mihraban, a polite, soft-spoken 26-year-old Pakistani, thinks he has already killed at least 100 people. Maybe more; he isn't really sure.    ''My goal was not to kill,'' he said. ''But I had a line to follow, an Islamic ideal. I knew...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'PALESTINIANS', u'BOMBS AND EXPLOSIVES', u'SURVEYS AND SERIES', u'ISLAM', u'SUICIDES AND SUICIDE ATTEMPTS', u'TERRORISM']",http://www.nytimes.com/2001/01/16/world/killing-for-the-glory-of-god-in-a-land-far-from-home.html,World; Front Page; Washington,2001-01-16,Series,4fd2105a8eb7c8105d784214
No Headline,Judith Miller article describes visit to Taliban training camp in Afghanistan for militant Arabs and other Muslims (S),Foreign Desk,"[u'ISRAEL', u'AFGHANISTAN']",565,"It seemed an auspicious invitation.     Afghanistan, insisted Wakil Ahmad Mutawakil, the Taliban foreign minister, did not support terrorism or harbor those who committed it. Yes, he acknowledged, his country continued to harbor some Arab and...",The New York Times,"[u'PALESTINIANS', u'ISLAM', u'TERRORISM']",http://www.nytimes.com/2001/01/16/world/no-headline-451355.html,World,2001-01-16,News,4fd21e578eb7c8105d7a02ab
Killing for a Cause,"In this lesson, students research various international terrorist attacks, looking for the motivation of the perpetrators. After reading and analyzing an article on the training of extremist Islamic fighters in Afghanistan, students then discuss terrorism and ways the international community might respond to discourage future terrorist acts.",,[],1898,"In this lesson, students research various international terrorist attacks, looking for the motivation of the perpetrators. After reading and analyzing an article on the training of extremist Islamic fighters in Afghanistan, students then discuss...",The New York Times,[],http://learning.blogs.nytimes.com/2001/01/17/killing-for-a-cause/,U.S.,2001-01-17,Blog,4fd3638f8eb7c8105d8b23f9
C.I.A. Chief Is Asked to Stay On and Agrees,Pres-elect George W Bush asks George J Tenet to stay on as CIA director for indefinite period and Tenet agrees (M),National Desk,[],733,"President-elect George W. Bush has asked George J. Tenet, the director of central intelligence, to stay on in his post for an indefinite period, and Mr. Tenet has agreed, a Bush spokesman said today.    The decision ends, at least temporarily, weeks...",The New York Times,"[u'UNITED STATES POLITICS AND GOVERNMENT', u'BIOGRAPHICAL INFORMATION']",http://www.nytimes.com/2001/01/17/us/cia-chief-is-asked-to-stay-on-and-agrees.html,U.S.; Washington,2001-01-17,News,4fd24f8c8eb7c8105d7f2783
"Embassy Suspect Warned U.S. of Yemen Attack, Papers Show","Court document shows that Mohamed Rashed Daoud al-'Owhali, defendant in investigation of 1998 bombing of American Embassy in Nairobi, Kenya, warned his American interrogators of another possible attack in Yemen; suspect apparently tried to use information to bargain with investigators; he was offered form of limited immunity in return for disclosing information immediately; what is not known is how authorities followed up on information or how detailed information was; bombing of American destroyer Cole in Yemen has prompted questions about how American officials have responded to potential warnings and whether any warnings were concrete enough that bombing might have been avoided (M)",Foreign Desk,"[u'YEMEN', u'NAIROBI (KENYA)', u'KENYA']",545,"A defendant in the investigation of the bombing of the American Embassy in Nairobi, Kenya, in 1998 warned his American interrogators of another possible attack in Yemen, a court document shows.    The suspect, Mohamed Rashed Daoud al-'Owhali, who was...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'COLE (USS)', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/01/18/world/embassy-suspect-warned-us-of-yemen-attack-papers-show.html,World; Washington,2001-01-18,News,4fd20f088eb7c8105d781351
Terror Trial Judge to Again Weigh Suppression of Statement,"Judge Leonard Sand will hear arguments on whether to close courtroom to public and press when issue of suppressing statement by defendant Mohamed Rashed Daoud al-'Owhali is raised; statement, in which Al-'Owhali implicates himself in African embassy bombings, was obtained during interrogation by American and Kenyan agents, and there are questions about whether statement was made voluntarily (M)",Metropolitan Desk,"[u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",704,"A federal judge in Manhattan has ruled that a critical statement made by a defendant in the African embassy bombings case should be suppressed, but has withdrawn his decision after prosecutors asked for an opportunity to make new arguments.    The...",The New York Times,"[u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'TERRORISM']",http://www.nytimes.com/2001/01/19/nyregion/terror-trial-judge-to-again-weigh-suppression-of-statement.html,New York and Region,2001-01-19,News,4fd20f038eb7c8105d780fdb
Public Barred From Hearing in Bombing Trial,"Federal Court Judge Leonard B Sand will bar public and press from hearing on whether to suppress crucial statement made by defendant Mohamed Rashed Daoud al-'Owhali in East Africa embassy bombings case; in detailed confession, defendant admitted he rode in truck that carried bomb to embassy in Nairobi (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",622,"Citing the safety of witnesses and unspecified national security concerns, a federal judge in Manhattan said yesterday that he would bar the press and public from a hearing next week on whether to suppress a crucial statement made by a defendant in...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'CAPITAL PUNISHMENT', u'CONFESSIONS', u'TERRORISM']",http://www.nytimes.com/2001/01/20/nyregion/public-barred-from-hearing-in-bombing-trial.html,Washington; New York and Region,2001-01-20,News,4fd242c48eb7c8105d7dc291
Cohen Says The Blame For the Cole Is Collective,"Defense Sec William S Cohen says responsibility for not preventing suicide attack on destroyer Cole in Yemen harbor extends throughout Pentagon leadership, from those aboard ship to himself; accepts recommendation of Gen Henry Shelton that no individual be disciplined (M)",Foreign Desk,[u'YEMEN'],771,Secretary of Defense William S. Cohen said today that responsibility for not preventing the suicide attack on the destroyer Cole in Yemen extended throughout the Pentagon's leadership -- from those aboard the ship to himself -- and he recommended...,The New York Times,"[u'NAVIES', u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'SECURITY AND WARNING SYSTEMS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/01/20/world/cohen-says-the-blame-for-the-cole-is-collective.html,World; Washington,2001-01-20,News,4fd242c48eb7c8105d7dc28f
U.S. Faces Tough Challenge to Statements in Terrorism Case,Newly disclosed court records show that government is facing much broader challenge to its interrogations of suspects in embassy bombing case than was previously known; three of four defendants on trial in Federal District Court in Manhattan are now asking Federal Judge Leonard Sands to bar prosecutors from using their statements against them in court on grounds that they were denied their rights to lawyer when interrogated in Africa (M),Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",780,"The government is facing a much broader challenge to its interrogations of suspects in the embassy bombing case than was previously known, newly disclosed court records show.    Three of the four defendants on trial in Federal District Court in...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'CAPITAL PUNISHMENT', u'TERRORISM', u'LEGAL PROFESSION']",http://www.nytimes.com/2001/01/25/nyregion/us-faces-tough-challenge-to-statements-in-terrorism-case.html,Washington; New York and Region,2001-01-25,News,4fd242bf8eb7c8105d7dbf26
U.S. Legal Obligations to Suspects Are Questioned in Bombing Case,"Lawyers for at least two of men arrested for bomings of two American Embassies in East Africa in August 1998 have argued that FBI agents who questioned their clients overseas never properly advised them of their right to lawyer, and did not provide oen when asked; Judge Leonard B Sand has ordered confession of Mohamed Rashed Daoud Al-'Owhali not be admitted at trial, but withdrew his decision after prosecutors asked for another chance ot argue for it use; Sand is considering admissibility of statments and says he will try to rule by Jan 29 (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'NEW YORK CITY', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",1198,"Within weeks of the bombings of two American Embassies in East Africa in August 1998, American investigators and prosecutors flew from New York to Kenya and Tanzania to search for the bombers and their handlers. On Aug. 12, five days after the...",The New York Times,"[u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'TERRORISM']",http://www.nytimes.com/2001/01/27/nyregion/us-legal-obligations-to-suspects-are-questioned-in-bombing-case.html,New York and Region,2001-01-27,News,4fd21e598eb7c8105d7a040e
WORLD BRIEFING,,Foreign Desk,[],862,"EUROPE    BRITAIN: MANDELSON VOWS TO FIGHT  Peter Mandelson, who resigned from the government after admitting issuing a misleading statement about helping an Indian get a passport, has set off an argument with former cabinet colleagues by saying he...",The New York Times,[],http://www.nytimes.com/2001/01/30/world/world-briefing.html,World,2001-01-30,News,4fd2043a8eb7c8105d76b06a
KENYA STATEMENTS IN TERRORISM CASE ALLOWED BY JUDGE,"Federal Judge Leonard B Sand rules American prosecutors can use statements given overseas by three defendants in 1998 bombings of American Embassies in Kenya and Tanzania, even though they were not provided with lawyers at time and claim that they were threatened with violence during questioning; rules even though 'classic Miranda doctrine' calls for defendant to be advised of right to counsel before questioning begins and given lawyer if unable to afford one, that may not always be feasible when American officials interrogate suspects on foreign soil; rules American agents did not violate due process rights of two defendants, Mohamed Rashid Daoud al-Owhali and Mohammed Saddiq Odeh; found testimony of agents believable; ruling not only represents victory for government's efforts to prosecute three of four defendants on trial, but could also have major impact on interrogation of terrorism suspects in future; August 1998 bombings of embassies in Kenya and Tanzania killed 224 people (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)']",1055,"A federal judge ruled yesterday that United States prosecutors could use statements given overseas by three defendants in the 1998 bombings of American Embassies in East Africa, even though the defendants were not given lawyers at the time and, in...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'MIRANDA V ARIZONA (US SUPREME COURT 1966 DECISION)', u'CONFESSIONS', u'TERRORISM', u'DECISIONS AND VERDICTS', u'LEGAL PROFESSION']",http://www.nytimes.com/2001/01/30/nyregion/kenya-statements-in-terrorism-case-allowed-by-judge.html,Front Page; Washington; New York and Region,2001-01-30,News,4fd21e558eb7c8105d7a01a7
The Cole Investigation Proves Frustrating,"American investigators have only circumstantial evidence, but no proof, of who was ultimately responsible for ordering bombing attack on destroyer Cole four months ago, and exactly how it was planned and carried out; dozen suspects are in custody and in jails in Yemen, but Federal Bureau of Investigation remains convinced conspiracy goes beyond Yemen, in all likelihood to Afghanistan, where Osama bin Laden lives in sanctuary under protection of Taliban; bin Laden is prime suspect, but probe has failed so far to establish more than 'inferential evidence' of his involvement (M)",Foreign Desk,"[u'YEMEN', u'AFGHANISTAN']",1124,"Nearly four months after the bombing of the United States destroyer Cole in Aden harbor, early breakthroughs in the inquiry into the attack appear to have petered out, leaving American investigators with only circumstantial evidence, but no proof, of...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'COLE (USS)', u'TERRORISM']",http://www.nytimes.com/2001/02/01/world/the-cole-investigation-proves-frustrating.html,World; Washington,2001-02-01,News,4fd210618eb7c8105d78488c
Courts a Limited Anti-Terror Weapon,"Analysis of split verdict in trial of two Libyans charged in bombing of Pan Am Flight 103; says it revives longstanding debate among officials who deal with terrorism, some of whom say that terrorism cannot be viewed as criminal justice matter, but as national security threat that should be dealt with by military force when state sponsorship is proven (M)",Foreign Desk,"[u'LOCKERBIE (SCOTLAND)', u'LIBYA']",712,The split verdict today in the trial of two Libyans charged in the bombing of Pan Am Flight 103 brought to a muddled close a prosecution that represented one of Washington's most ambitious attempts to use criminal law as a weapon against a horrific...,The New York Times,"[u'AIRLINES AND AIRPLANES', u'BOMBS AND EXPLOSIVES', u'TERRORISM']",http://www.nytimes.com/2001/02/01/world/the-lockerbie-verdict-news-analysis-courts-a-limited-anti-terror-weapon.html,World,2001-02-01,An Analysis; News Analysis,4fd2058b8eb7c8105d76e1c2
"Going on Trial: U.S. Accusations Of a Global Plot; In Embassy Bombings Case, The Specter of a Mastermind","Background on trial of four suspects in connection with bombings of US embassies in Kenya and Tanzania; includes profiles of defendants, Judge Leonard B Sand, who will preside at trial, and history of courtroom in which other terrorism cases have been tried; photos (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",1665,"Courtroom 318 in Old Federal Courthouse in Manhattan is where the United States brings terrorism to trial.    In the last seven years, it has been the scene of several major prosecutions, beginning with the 1993 World Trade Center bombing and a later...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'BIOGRAPHICAL INFORMATION', u'TERRORISM']",http://www.nytimes.com/2001/02/04/nyregion/going-trial-us-accusations-global-plot-embassy-bombings-case-specter-mastermind.html,Washington; New York and Region,2001-02-04,News,4fd21e568eb7c8105d7a0251
NEWS SUMMARY,Correction of entry in Feb 4 Television section,Metropolitan Desk,[],638,"INTERNATIONAL   3-12    U.S. Attempts to Defuse Missile Defense Opposition  Defense Secretary Donald Rumsfeld, the first senior Bush administration official to visit Europe, tried to defuse opposition to plans for a national missile defense by...",The New York Times,[],http://www.nytimes.com/2001/02/04/nyregion/news-summary-762806.html,New York and Region,2001-02-04,Summary,4fd22d648eb7c8105d7ba636
INSIDE,,Metropolitan Desk,[],133,Second Killing at Campus  Sadness and anxiety surrounded Gallaudet University in Washington after a freshman was found stabbed to death in the same dormitory where another student was beaten to death four months ago.   PAGE A11    Defense Debate...,The New York Times,[],http://www.nytimes.com/2001/02/05/nyregion/inside-772828.html,Front Page; New York and Region,2001-02-05,Summary,4fd2050e8eb7c8105d76ce95
NEWS SUMMARY,,Metropolitan Desk,[],1072,"INTERNATIONAL   A3-10    Israelis Await Elections With Sharon Seen as Victor  Two days before a potentially fateful election for prime minister, the presumption of a victory by Ariel Sharon, the right-wing leader, has made for a lackluster campaign...",The New York Times,[],http://www.nytimes.com/2001/02/05/nyregion/news-summary-771678.html,New York and Region,2001-02-05,Summary,4fd21e5b8eb7c8105d7a04ac
Secret Witness Set to Testify In Terror Trial,"Trial in bombings of two American embassies in East Africa is to begin in Federal District Court in Manhattan and indications are that government's first witness will be an informer who worked for Saudi exile Osama bin Laden until 1996, when he agreed to cooperate with American authorities; government has been concealing identity of witness, convicted terrorist known only as CS-1 for almost 5 years (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",1225,The trial in the bombings of two American embassies in East Africa is to begin this morning in Federal District Court in Manhattan and indications are that the government's first witness will be an informer who worked for the Saudi exile Osama bin...,The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'INFORMERS', u'TERRORISM']",http://www.nytimes.com/2001/02/05/nyregion/secret-witness-set-to-testify-in-terror-trial.html,Washington; New York and Region,2001-02-05,News,4fd2050e8eb7c8105d76ce81
Victims' Relatives Remember and Wait,Article describes scene at Old Federal Courthouse in Lower Manhattan as opening arguments are held in US embassy bombings trial; several family members of those who died in attack attend; they discuss proceedings and their memories of loved ones; photo (M),Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'NEW YORK CITY', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",773,"Wind whistled through the Old Federal Courthouse in Lower Manhattan yesterday. There was a driving winter storm outside, and the plaintive howl it made was eerie accompaniment to the start of the embassy bombings trial.    As it slipped and whispered...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'TERRORISM']",http://www.nytimes.com/2001/02/06/nyregion/victims-relatives-remember-and-wait.html,Washington; New York and Region,2001-02-06,News,4fd20f028eb7c8105d780e9b
