headline,date,section,url,word_count
Bin Laden Raid Complicates G.O.P. Message for 2012,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/bin-laden-operation-may-complicate-g-o-p-message-on-national-security/,607
Osama’s Long Goodbye,2011-05-02,Magazine,http://6thfloor.blogs.nytimes.com/2011/05/02/osamas-long-goodbye/,400
Bin Laden and Inefficient Markets,2011-05-02,Business Day,http://economix.blogs.nytimes.com/2011/05/02/bin-laden-and-inefficient-markets/,352
TimesCast | Afghan Reactions,2011-05-02,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000800023/timescast--afghan-reactions.html,13
Poll: Muslims Worldwide Lacked Confidence in Bin Laden,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/poll-muslims-around-the-world-lacked-confidence-in-bin-laden/,245
TimesCast | Reflections From Ground Zero,2011-05-02,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000800067/timescast--reflections-from-ground-zero.html,21
"Online, an Urge to Be a Part of the Bin Laden News",2011-05-02,Technology,http://bits.blogs.nytimes.com/2011/05/02/online-an-urge-to-be-a-part-of-the-bin-laden-news/,595
Ground Zero Reactions,2011-05-02,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000800125/ground-zero-reactions.html,25
Live Facebook Chat on Bin Laden,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/live-facebook-chat-on-bin-laden/,42
Teaching Ideas: The Death of Osama bin Laden,2011-05-02,U.S.,http://learning.blogs.nytimes.com/2011/05/02/teaching-ideas-the-death-of-osama-bin-laden/,2260
Teaching Ideas: The Death of Osama bin Laden,2011-05-02,U.S.,http://learning.blogs.nytimes.com/2011/05/02/teaching-ideas-the-death-of-osama-bin-laden/,2209
Week Ahead: Debt Ceiling and Gas Prices Still Focus of Congress,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/week-ahead-debt-ceiling-and-gas-prices-still-focus-of-congress/,480
Political Impact of Bin Laden's Death,2011-05-02,U.S.,http://www.nytimes.com/video/us/politics/100000000800301/political-impact-of-bin-ladens-death.html,18
Bin Laden’s Death and Obama’s Approval Ratings,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/how-much-will-bin-ladens-death-boost-obamas-approval-ratings/,404
Video: Political Impact of Bin Laden’s Death,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/video-political-impact-of-bin-ladens-death/,19
A Survey of Books About Osama bin Laden and Al Qaeda,2011-05-02,Arts,http://artsbeat.blogs.nytimes.com/2011/05/02/a-survey-of-books-about-osama-bin-laden-and-al-qaeda/,1494
Firefighters Gather for News of Bin Laden,2011-05-02,Multimedia,http://lens.blogs.nytimes.com/2011/05/02/firefighters-gather-for-news-of-bin-laden/,431
Nightly News Anchors Flock to Ground Zero,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/nightly-news-anchors-flock-to-ground-zero/,283
"TimesCast | May 2, 2011",2011-05-02,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000800444/timescast--may-2-2011.html,15
"Second Thoughts About Obama and Bin Laden: It’s Not Just the Economy, Stupid",2011-05-02,U.S.,http://fivethirtyeight.blogs.nytimes.com/2011/05/02/second-thoughts-about-obama-and-bin-laden-its-not-just-the-economy-stupid/,657
Facebook Transcript: Live Chat on Bin Laden Death,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/facebook-transcript-live-chat-on-bin-laden-death/,1670
Worldwide Travel Alert,2011-05-02,Travel,http://intransit.blogs.nytimes.com/2011/05/02/worldwide-travel-alert/,211
Police Step Up Efforts on News of Bin Laden’s Death,2011-05-02,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/02/police-step-up-efforts-on-news-of-bin-ladens-death/,566
Bin Laden News Gives CNN a Ratings Victory,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/bin-laden-news-gives-cnn-a-ratings-win/,277
Live Blog: New York Reacts to Bin Laden's Death,2011-05-02,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/02/live-blog-new-york-reacts-to-bin-ladens-death/,8195
Congress Reacts to Bin Laden Death,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/congress-reacts-bin-laden-death/,518
The Magazine on Osama bin Laden,2011-05-02,Magazine,http://6thfloor.blogs.nytimes.com/2011/05/02/the-magazine-on-osama-bin-laden/,725
Media React: Al Jazeera on Bin Laden’s Death,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-al-jazeera-on-bin-ladens-death/,157
Media React: Le Monde Notes History’s Timing,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-le-monde-notes-historys-timing/,128
ABC Correspondent Describes a Bloody Scene,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/abc-correspondent-describes-a-bloody-scene/,744
Images Show Tension and Intensity in Situation Room,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/images-show-tension-intensity-in-situation-room/,275
Media React: Arab Network Debates Sea Burial,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-arab-network-debates-sea-burial/,84
TimesCast | Pakistan Reactions,2011-05-02,World,http://www.nytimes.com/video/world/100000000800871/timescast--pakistan-reactions.html,20
Obama and Gates Gave No Hint of Raid at Correspondents’ Dinner,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/obama-and-gates-gave-no-hint-of-raid-at-correspondents-dinner/,129
Media React: A Roundup of Papers in Spain,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-a-roundup-of-papers-in-spain/,147
Highlights From White House Briefing,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/highlights-from-white-house-media-briefing/,3968
"Media React: In Venezuela, Criticism of ‘Murder’",2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-in-venezuela-criticism-of-murder/,117
Obama to Visit Ground Zero on Thursday,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/obama-to-visit-ground-zero-on-thursday/,193
Obama Emphasizes ‘Sense of Unity’,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/obama-emphasizes-sense-of-unity/,121
Mets Offer Free Tickets to Military Members,2011-05-02,Sports,http://bats.blogs.nytimes.com/2011/05/02/mets-offer-free-tickets-to-military-members/,187
Media React: Haaretz Weighs In,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/media-react-haaretz-weighs-in/,143
Wall Street Shrugs Off Death of Bin Laden and Turns Attention to Earnings,2011-05-03,Business Day,http://www.nytimes.com/2011/05/03/business/03markets.html,742
Afghans Fear West May See Death as the End,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03afghanistan.html,968
Bin Laden Killing Draws Praise From Allies but Concern About Reprisals,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/03risk.html,1197
Bin Laden&#8217;s Death Doesn&#8217;t Mean the End of Al Qaeda,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03terror.html,931
"Amid Skepticism, Pakistan Calculates Its Response",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03pakistan.html,1231
Killing Adds to Debate About U.S. Strategy and Timetable in Afghanistan,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/03policy.html,1062
"In Arab World, Bin Laden’s Confused Legacy",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/middleeast/03arab.html,1176
A Mix of Emotion Stored for a Decade,2011-05-03,U.S.,http://www.nytimes.com/2011/05/03/us/03mood.html,1536
A Coda to 9/11: Cheers and Reflections,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/l03binladen.html,1292
"For Many Africans, Bin Laden’s Death was a Long Time Coming",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/africa/03reax.html,920
Big News at the Ballpark,2011-05-03,Sports,http://www.nytimes.com/2011/05/03/sports/baseball/03leading.html,639
"Russians Shrug, Some Doubtfully, Others Stoically",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/europe/03russia.html,215
Hamas Condemns the Killing of Bin Laden,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/middleeast/03gaza.html,435
"In Pakistani Statements, an Awkward Acceptance",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03denial.html,532
Afghanistan Weighs Future With Fatalism,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03kabul.html,725
Obama Calls World ‘Safer’ After Pakistan Raid,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/osama-bin-laden-dead.html,2497
"Big Compound Stood Out, but Not Its Occupants, Neighbors Say",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03compound.html,1068
"Famous List of the Infamous, Now in Need of an Update",2011-05-03,U.S.,http://www.nytimes.com/2011/05/03/us/03wanted.html,564
Islamic Scholars Split Over Sea Burial for Bin Laden,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03burial.html,818
Jihadis Voice Grief and Determination at Death of Their Inspiration,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/03jihadi.html,741
"Bin Laden’s Likely Heir Is Viewed as Organizer, Not as Inspiring Figure",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03zawahri.html,1125
Lara Logan Interview Leads Sunday Ratings,2011-05-03,Arts,http://www.nytimes.com/2011/05/03/arts/television/lara-logan-interview-leads-sunday-ratings.html,172
"Obama Finds Praise, Even From Republicans",2011-05-03,U.S.,http://www.nytimes.com/2011/05/03/us/politics/03obama.html,1052
Experts Say DNA Match Is Likely a Parent or Child,2011-05-03,Science,http://www.nytimes.com/2011/05/03/science/03dna.html,663
4 Questions He Leaves Behind,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/03nocera.html,829
"Bucking Trend, Connecticut Budget Deal Raises Taxes, Gasoline Excepted",2011-05-03,N.Y. / Region,http://www.nytimes.com/2011/05/03/nyregion/tax-increases-stand-out-in-connecticut-budget-deal.html,892
What Drives History,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/03brooks.html,817
Turning to Social Networks for News,2011-05-03,Business Day,http://www.nytimes.com/2011/05/03/business/media/03media.html,913
The End of the Jihadist Dream,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/03Soufan.html,847
The Long-Awaited News,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/03tue1.html,792
Behind the Hunt for Bin Laden,2011-05-03,World,http://www.nytimes.com/2011/05/03/world/asia/03intel.html,2809
Bin Laden’s Dead. Al Qaeda’s Not.,2011-05-03,Opinion,http://www.nytimes.com/2011/05/03/opinion/03clarke.html,753
Catharsis Comes Once Again With Mets on the Field,2011-05-03,Sports,http://www.nytimes.com/2011/05/03/sports/baseball/03mets.html,775
A Mood of Triumph and Sober Reflection,2011-05-03,N.Y. / Region,http://www.nytimes.com/2011/05/03/nyregion/joy-at-bin-ladens-death-is-mixed-with-sober-reflection.html,1800
"Even Before Al Qaeda Lost Its Founder, It May Have Lost Some of Its Allure",2011-05-03,World,http://www.nytimes.com/2011/05/03/world/03qaeda.html,1039
"As Word Spread About Bin Laden’s Death, It Became a TV Moment",2011-05-03,Arts,http://www.nytimes.com/2011/05/03/arts/television/bin-ladens-death-how-it-played.html,805
The Death of a Terrorist: A Turning Point?,2011-05-03,U.S.,http://www.nytimes.com/interactive/2011/05/03/us/20110503-osama-response.html,22
After the Raid: The Compound in Abbottabad,2011-05-03,World,http://www.nytimes.com/slideshow/2011/05/03/world/asia/20110504_PAKISTAN.html,35
British Roots Of Abbottabad,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9A0DE7DE163AF930A35756C0A9679D8B63,148
A Mood of Triumph and Sober Reflection,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=980DE4DD163AF930A35756C0A9679D8B63,1800
Jihadist Sites Address Death,2011-05-03,World; Technology,http://query.nytimes.com/gst/fullpage.html?res=9F01E7DE163AF930A35756C0A9679D8B63,198
"Big Compound Stood Out, but Not Its Occupants, Neighbors Say",2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9803E0DB1F3BF930A35756C0A9679D8B63,1068
Reading Bin Laden and His World,2011-05-03,Books; Arts,http://query.nytimes.com/gst/fullpage.html?res=950CE3DB1F30F930A35756C0A9679D8B63,1611
What Happened to 2001's Most Wanted,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9901E1DD1739F930A35756C0A9679D8B63,365
"Born Into Privilege, Bin Laden Became the Face of Global Terror",2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9D05E0DE163AF930A35756C0A9679D8B63,5171
"Born Into Privilege, Bin Laden Became the Face of Global Terror",2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9906E3DB123AF930A35756C0A9679D8B63,5171
Afghans Fear West May See Death as the End,2011-05-03,U.S.,http://query.nytimes.com/gst/fullpage.html?res=9500E3DB1E3BF930A35756C0A9679D8B63,968
Other Views On Pakistan TV,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9907E4DD163AF930A35756C0A9679D8B63,221
Bin Laden Killing Draws Praise From Allies but Concern About Reprisals,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9C0DE2DB1E3BF930A35756C0A9679D8B63,1197
'Apprentice' Interrupted,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9F07E7DD163AF930A35756C0A9679D8B63,158
Updates From North Africa And Around the Mideast,2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9F05E3DF163AF930A35756C0A9679D8B63,298
"Ratings Rise, Often Briefly",2011-05-03,World,http://query.nytimes.com/gst/fullpage.html?res=9C06EEDE163AF930A35756C0A9679D8B63,180
What's On Today,2011-05-03,Arts,http://query.nytimes.com/gst/fullpage.html?res=9A0CE4DA1F3BF930A35756C0A9679D8B63,699
A Night Interrupted in Abbottabad,2011-05-03,World,http://www.nytimes.com/video/world/100000000801059/a-night-interrupted-in-abbottabad.html,31
The Early Word: Now What?,2011-05-03,,http://thecaucus.blogs.nytimes.com/2011/05/03/the-early-word-now-what/,542
Bin Laden’s Death Expected to Have Little Impact on Al Qaeda in Iraq,2011-05-03,World,http://atwar.blogs.nytimes.com/2011/05/03/bin-ladens-death-expected-to-have-little-impact-on-al-qaeda-in-iraq/,770
Bin Laden on New York in His Own Words,2011-05-03,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/03/bin-laden-on-new-york-in-his-own-words/,792
Bin Laden Killing Likely to Change Republican Debate,2011-05-03,,http://thecaucus.blogs.nytimes.com/2011/05/03/bin-laden-killing-likely-to-change-republican-debate/,653
"Updates on the Death of Bin Laden, May 3",2011-05-03,,http://thelede.blogs.nytimes.com/2011/05/03/latest-updates-on-the-death-of-bin-laden/,3413
Fill-In | Osama Bin Laden,2011-05-03,U.S.,http://learning.blogs.nytimes.com/2011/05/03/fill-in-osama-bin-laden/,633
Morning Buzz | City’s Emotions Spill Out,2011-05-03,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/03/morning-buzz-citys-emotions-spill-out/,888
Presidential Politics After Bin Laden,2011-05-03,Opinion,http://douthat.blogs.nytimes.com/2011/05/03/presidential-politics-after-bin-laden/,400
U.S. to Investigate Whether Pakistan Helped Bin Laden,2011-05-03,,http://thecaucus.blogs.nytimes.com/2011/05/03/u-s-to-probe-pakistans-knowledge-of-bin-laden-location/,789
Students Take Time to Reflect on Bin Laden,2011-05-03,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/03/students-take-time-to-reflect-on-bin-laden/,1025
The Morning Line: Hedging Bets at the Derby,2011-05-03,Sports,http://therail.blogs.nytimes.com/2011/05/03/morning-line-hedging-bets-at-the-derby/,652
‘We’ Got Him,2011-05-03,World,http://atwar.blogs.nytimes.com/2011/05/03/we-got-him/,1185
White House Weighs Whether to Release ‘the Photo’,2011-05-03,,http://thecaucus.blogs.nytimes.com/2011/05/03/white-house-weighs-the-photo/,271
Roger Cohen in Libya,2011-05-03,Opinion,http://www.nytimes.com/video/opinion/100000000801905/opinion--roger-cohen-in-libya.html,16
Peter Bergen to Write Book on Bin Laden Manhunt,2011-05-03,Business,http://mediadecoder.blogs.nytimes.com/2011/05/03/peter-bergen-to-write-book-on-bin-laden-manhunt/,172
TimesCast | A Reclusive Neighbor,2011-05-03,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000802062/timescast--a-reclusive-neighbor.html,26
May Day,2011-05-03,Opinion,http://opinionator.blogs.nytimes.com/2011/05/03/may-day/,906
Boy Recalls Bin Laden Family,2011-05-03,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000801528/boy-recalls-bin-laden-family.html,21
Obama to Observe 9/11 Anniversary in New York,2011-05-03,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/03/obama-to-observe-911-anniversary-in-new-york/,165
Obama to Give ’60 Minutes’ Details on Bin Laden,2011-05-03,Business,http://mediadecoder.blogs.nytimes.com/2011/05/03/obama-to-give-bin-laden-details-on-60-minutes/,113
White House Corrects Bin Laden Narrative,2011-05-03,,http://thecaucus.blogs.nytimes.com/2011/05/03/white-house-corrects-bin-laden-narrative/,805
"TimesCast | May 3, 2011",2011-05-03,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000802348/timescast--may-3-2011.html,28
The Hut Next Door,2011-05-03,Opinion,http://opinionator.blogs.nytimes.com/2011/05/03/the-hut-next-door/,1083
"After Bin Laden, Reliving the Iraq ‘Mistake’",2011-05-03,Opinion,http://opinionator.blogs.nytimes.com/2011/05/03/after-bin-laden-reliving-the-iraq-mistake/,744
Overnight Polls Find Muted Improvement in Obama’s Approval Rating,2011-05-03,U.S.,http://fivethirtyeight.blogs.nytimes.com/2011/05/03/overnight-polls-find-muted-improvement-in-obamas-approval-rating/,841
Obama’s Sunday Address  Draws 56.5 Million Viewers,2011-05-03,Business,http://mediadecoder.blogs.nytimes.com/2011/05/03/address-to-nation-drew-56-5-million-viewers/,262
TimesCast | A Culture of Conspiracies,2011-05-03,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000802807/timescast--a-culture-of-conspiracies.html,21
TimesCast | Voicing Distrust on Pakistan,2011-05-03,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000802798/timescast--.html,15
Bloggingheads: Bin Laden's Death,2011-05-03,Opinion,http://www.nytimes.com/video/opinion/100000000803002/bloggingheads-reaction-to-osamas-death.html,22
Questions Focus on Pakistan’s Role in Terror Fight,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/04risk.html,1574
Five Men Arrested Near Plant In Britain,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/europe/04britain.html,382
Three N.H.L. Teams in 2-0 Hole,2011-05-04,Sports,http://www.nytimes.com/2011/05/04/sports/hockey/04leading.html,768
"Behind High Walls, Model Neighbors Were Harboring a Fugitive",2011-05-04,World,http://www.nytimes.com/2011/05/04/world/asia/04compound.html,1010
Pakistan Pushes Back Against U.S. Criticism on Bin Laden,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/asia/04pakistan.html,1273
India Sees New Reason to Distrust Pakistan,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/asia/04india.html,550
A National Security Strategy That Doesn’t Focus on Threats,2011-05-04,N.Y. / Region,http://www.nytimes.com/2011/05/04/nyregion/a-strategy-for-national-security-focused-on-sustainability.html,804
Steeler’s Comments on Bin Laden,2011-05-04,Sports,http://www.nytimes.com/2011/05/04/sports/football/04sportsbriefs-STEELERSCOMM_BRF.html,110
New U.S. Account Says Bin Laden Was Unarmed During Raid,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/asia/04raid.html,1089
A Mission Not Yet Accomplished,2011-05-04,Business Day,http://www.nytimes.com/2011/05/04/business/economy/04leonhardt.html,1049
The Night Bin Laden Was Hunted Down,2011-05-04,Opinion,http://www.nytimes.com/2011/05/04/opinion/l04binladen.html,1203
Mets Thank Troops in a Meaningful Setting,2011-05-04,Sports,http://www.nytimes.com/2011/05/04/sports/baseball/04vecsey.html,935
Tensions Rise as U.S. Officials Press Pakistan for Answers,2011-05-04,World,http://www.nytimes.com/2011/05/04/world/asia/04binladen.html,1090
"Good Feeling Gone, in Congress, Anyway",2011-05-04,U.S.,http://www.nytimes.com/2011/05/04/us/politics/04congress.html,780
Farewell to Geronimo,2011-05-04,Opinion,http://www.nytimes.com/2011/05/04/opinion/04friedman.html,887
9/11 Inspires Student Patriotism and Celebration,2011-05-04,U.S.,http://www.nytimes.com/2011/05/04/us/04youth.html,1055
Prosecutors Are Expected to Seek Dismissal of Charges Against Bin Laden,2011-05-04,N.Y. / Region,http://www.nytimes.com/2011/05/04/nyregion/with-bin-ladens-death-seeking-the-dismissal-of-all-charges.html,761
Bin Laden Raid Revives Debate on Value of Torture,2011-05-04,U.S.,http://www.nytimes.com/2011/05/04/us/politics/04torture.html,1095
Security on Higher Alert Across U.S.,2011-05-04,U.S.,http://www.nytimes.com/2011/05/04/us/04security.html,581
Obama&#8217;s TV Audience Was His Largest,2011-05-04,Arts,http://www.nytimes.com/2011/05/04/arts/television/bin-laden-speech-drew-obamas-largest-audience-as-president.html,113
"My Sister, My Grief",2011-05-04,Opinion,http://www.nytimes.com/2011/05/04/opinion/04klitzman.html,746
"James Takes Command, and the Heat Pulls Ahead",2011-05-04,Sports,http://www.nytimes.com/2011/05/04/sports/basketball/04heat.html,892
