headline,section,word_count,url,date,id
Metulla Journal; It's Raining Not Rockets but Rocks: This Is Peace?,World,1228,http://www.nytimes.com/2000/09/18/world/metulla-journal-it-s-raining-not-rockets-but-rocks-this-is-peace.html,9/18/00,81
U.S. Officials Play Down Value Of Manual Linked to bin Laden,World,383,http://www.nytimes.com/2000/09/19/world/us-officials-play-down-value-of-manual-linked-to-bin-laden.html,9/19/00,82
"Man Held in Terrorist Plot Agreed to Talk, Agents Say",New York and Region,488,http://www.nytimes.com/2000/09/19/nyregion/man-held-in-terrorist-plot-agreed-to-talk-agents-say.html,9/19/00,83
Taliban Open A Campaign To Gain Status At the U.N.,World,720,http://www.nytimes.com/2000/09/21/world/taliban-open-a-campaign-to-gain-status-at-the-un.html,9/21/00,84
Lawyers Allege Coercion of Witnesses in Terrorism Case,Washington; New York and Region,901,http://www.nytimes.com/2000/09/26/nyregion/lawyers-allege-coercion-of-witnesses-in-terrorism-case.html,9/26/00,85
METRO BRIEFING,New York and Region,965,http://www.nytimes.com/2000/09/27/nyregion/metro-briefing.html,9/27/00,86
Judge Sees No Intimidation by Government in Terrorism Case,New York and Region,437,http://www.nytimes.com/2000/10/07/nyregion/judge-sees-no-intimidation-by-government-in-terrorism-case.html,10/7/00,87
BLAST KILLS SAILORS ON U.S. SHIP IN YEMEN,World; Front Page; Washington,1905,http://www.nytimes.com/2000/10/13/world/the-warship-explosion-the-overview-blast-kills-sailors-on-us-ship-in-yemen.html,10/13/00,88
Navy's Visits to Risky Port Sought Better Ties to Yemen,World; Front Page; Washington,950,http://www.nytimes.com/2000/10/13/world/warship-explosion-yemen-navy-s-visits-risky-port-sought-better-ties-yemen.html,10/13/00,89
Blaming Immigrants,Opinion,340,http://www.nytimes.com/2000/10/14/opinion/blaming-immigrants.html,10/14/00,90
"U.S. Officials Tell of Getting Warning Last Month, but Say It Was Too Vague",World,906,http://www.nytimes.com/2000/10/14/world/whose-holy-land-attack-us-officials-tell-getting-warning-last-month-but-say-it.html,10/14/00,92
Iraq Reports Safe Ending To Hijacking Of Saudi Jet,World,773,http://www.nytimes.com/2000/10/15/world/iraq-reports-safe-ending-to-hijacking-of-saudi-jet.html,10/15/00,93
YEMENIS NOW SAY THAT SHIP BLAST WAS CRIMINAL ACT,World; Front Page; Washington,1528,http://www.nytimes.com/2000/10/17/world/yemenis-now-say-that-ship-blast-was-criminal-act.html,10/17/00,94
Case Goes to New York F.B.I. Office,World; Washington,176,http://www.nytimes.com/2000/10/17/world/case-goes-to-new-york-fbi-office.html,10/17/00,95
Ship Bomb Inquiry Focuses on Safe Houses and Deserted Car,World; Washington,1027,http://www.nytimes.com/2000/10/19/world/ship-bomb-inquiry-focuses-on-safe-houses-and-deserted-car.html,10/19/00,96
"Terror Suspect Asked Officer To Kill Him, Interrogator Says",Washington; New York and Region,775,http://www.nytimes.com/2000/10/19/nyregion/terror-suspect-asked-officer-to-kill-him-interrogator-says.html,10/19/00,97
INSIDE,Front Page; New York and Region,104,http://www.nytimes.com/2000/10/20/nyregion/inside-761990.html,10/20/00,98
U.S. Says It Was Warned On Egyptian Islamic Group,World; Washington,1034,http://www.nytimes.com/2000/10/20/world/us-says-it-was-warned-on-egyptian-islamic-group.html,10/20/00,99
Man Charged in Terrorism Asks to Take the Stand,Washington; New York and Region,534,http://www.nytimes.com/2000/10/20/nyregion/man-charged-in-terrorism-asks-to-take-the-stand.html,10/20/00,100
Yemenis Link Bomb Inquiry to Border Region and a Somali,World; Washington,783,http://www.nytimes.com/2000/10/20/world/yemenis-link-bomb-inquiry-to-border-region-and-a-somali.html,10/20/00,101
BIN LADEN LINKED TO EMBASSY BLAST BY AN EX-SOLDIER,Front Page; Washington; New York and Region,1385,http://www.nytimes.com/2000/10/21/nyregion/bin-laden-linked-to-embassy-blast-by-an-ex-soldier.html,10/21/00,103
Excerpts From Guilty Plea in Terrorism Case,New York and Region,879,http://www.nytimes.com/2000/10/21/nyregion/excerpts-from-guilty-plea-in-terrorism-case.html,10/21/00,104
NEWS SUMMARY,New York and Region,1048,http://www.nytimes.com/2000/10/21/nyregion/news-summary-783170.html,10/21/00,105
Yemeni and U.S. Teams Focus On Boat Used to Attack Cole,World; Washington,1150,http://www.nytimes.com/2000/10/22/world/yemeni-and-us-teams-focus-on-boat-used-to-attack-cole.html,10/22/00,106
Investigators Discouraging Speculation In Cole Attack,World; Washington,991,http://www.nytimes.com/2000/10/23/world/investigators-discouraging-speculation-in-cole-attack.html,10/23/00,107
"In Terrorism Case, a Plea Bargain Secretly 2 Years in the Making",Washington; New York and Region,954,http://www.nytimes.com/2000/10/24/nyregion/in-terrorism-case-a-plea-bargain-secretly-2-years-in-the-making.html,10/24/00,108
U.S. Military Placed on Highest Alert in Several Hot Spots,World; Washington,388,http://www.nytimes.com/2000/10/24/world/us-military-placed-on-highest-alert-in-several-hot-spots.html,10/24/00,109
No Special Alert for Cole Before Bombing,World,1161,http://www.nytimes.com/2000/10/25/world/no-special-alert-for-cole-before-bombing.html,10/25/00,110
Judge Rejects Guilty Plea In Bomb Plot,New York and Region,1077,http://www.nytimes.com/2000/10/25/nyregion/judge-rejects-guilty-plea-in-bomb-plot.html,10/25/00,111
NEWS SUMMARY,New York and Region,994,http://www.nytimes.com/2000/10/25/nyregion/news-summary-842770.html,10/25/00,112
Yemen Reports Arrests of Foreign-Born Arabs in Cole Attack,World; Washington,817,http://www.nytimes.com/2000/10/26/world/yemen-reports-arrests-of-foreign-born-arabs-in-cole-attack.html,10/26/00,113
INSIDE,Front Page; New York and Region,165,http://www.nytimes.com/2000/10/26/nyregion/inside-866385.html,10/26/00,114
How a Mighty Power Was Humbled by a Little Skiff,World; Washington,1258,http://www.nytimes.com/2000/10/28/world/how-a-mighty-power-was-humbled-by-a-little-skiff.html,10/28/00,116
October 22-28; Arrests in Cole Attack,Week in Review,79,http://www.nytimes.com/2000/10/29/weekinreview/october-22-28-arrests-in-cole-attack.html,10/29/00,117
Persecution Charged in Ex-Soviet Republic,World,1528,http://www.nytimes.com/2000/10/29/world/persecution-charged-in-ex-soviet-republic.html,10/29/00,118
Yemen Restricting F.B.I. Access to Suspects in Cole Bombing,World,1155,http://www.nytimes.com/2000/10/29/world/yemen-restricting-fbi-access-to-suspects-in-cole-bombing.html,10/29/00,119
Investigation of Attack on U.S. Destroyer Moving Slowly,World; Washington,930,http://www.nytimes.com/2000/10/30/world/investigation-of-attack-on-us-destroyer-moving-slowly.html,10/30/00,120
Navy Ships Avoiding Suez Canal Since Destroyer Bombing,World; Washington,479,http://www.nytimes.com/2000/10/31/world/navy-ships-avoiding-suez-canal-since-destroyer-bombing.html,10/31/00,122
F.B.I. and Yemen Said to Be Near an Agreement on Investigation of the Cole Blast,World; Washington,890,http://www.nytimes.com/2000/11/02/world/fbi-and-yemen-said-to-be-near-an-agreement-on-investigation-of-the-cole-blast.html,11/2/00,123
2 in Terror Case Suspected in Stabbing of Guard at Federal Jail,Washington; New York and Region,566,http://www.nytimes.com/2000/11/02/nyregion/2-in-terror-case-suspected-in-stabbing-of-guard-at-federal-jail.html,11/2/00,124
Officials See Escape Bid In Jail Attack On a Guard,New York and Region,740,http://www.nytimes.com/2000/11/03/nyregion/officials-see-escape-bid-in-jail-attack-on-a-guard.html,11/3/00,125
Taliban and Opposition Forces Are Said to Agree to Peace Talks,World,523,http://www.nytimes.com/2000/11/04/world/taliban-and-opposition-forces-are-said-to-agree-to-peace-talks.html,11/4/00,126
Reporter's Notebook; Stabbing May End Debate on Restrictions for Terrorism Suspects,Washington; New York and Region,825,http://www.nytimes.com/2000/11/05/nyregion/reporter-s-notebook-stabbing-may-end-debate-restrictions-for-terrorism-suspects.html,11/5/00,127
Remote Yemen May Be Key to Terrorist's Past and Future,World; Washington,2221,http://www.nytimes.com/2000/11/05/world/remote-yemen-may-be-key-to-terrorist-s-past-and-future.html,11/5/00,128
A Glimpse at the Alliances of Terror,Opinion,777,http://www.nytimes.com/2000/11/07/opinion/a-glimpse-at-the-alliances-of-terror.html,11/7/00,130
Failed Plan To Bomb A U.S. Ship Is Reported,World; Washington,790,http://www.nytimes.com/2000/11/10/world/failed-plan-to-bomb-a-us-ship-is-reported.html,11/10/00,131
November 5-11; An Earlier Plot Against a U.S. Warship,Week in Review,72,http://www.nytimes.com/2000/11/12/weekinreview/november-5-11-an-earlier-plot-against-a-us-warship.html,11/12/00,132
Reporter's Notebook; Quandary in Terror Case: Can Counsel Be Witness?,New York and Region,813,http://www.nytimes.com/2000/11/12/nyregion/reporter-s-notebook-quandary-in-terror-case-can-counsel-be-witness.html,11/12/00,133
Lawyers in Terror Case Say Client Access Was Blocked,Washington; New York and Region,670,http://www.nytimes.com/2000/11/17/nyregion/lawyers-in-terror-case-say-client-access-was-blocked.html,11/17/00,134
"Suspect in Terror Case Is Mistreated, Wife Says",New York and Region,706,http://www.nytimes.com/2000/11/22/nyregion/suspect-in-terror-case-is-mistreated-wife-says.html,11/22/00,135
NEWS SUMMARY,New York and Region,1120,http://www.nytimes.com/2000/11/23/nyregion/news-summary-348163.html,11/23/00,136
Yemeni Cites Cole Suspects Seen as Linked to bin Laden,World; Washington,1103,http://www.nytimes.com/2000/11/23/world/yemeni-cites-cole-suspects-seen-as-linked-to-bin-laden.html,11/23/00,137
NEWS SUMMARY,New York and Region,507,http://www.nytimes.com/2000/11/26/nyregion/news-summary-389730.html,11/26/00,138
Yemen Links to bin Laden Gnaw at F.B.I. in Cole Inquiry,World; Washington,2007,http://www.nytimes.com/2000/11/26/world/yemen-links-to-bin-laden-gnaw-at-fbi-in-cole-inquiry.html,11/26/00,139
Judge Orders Confiscation Of Papers in Terrorism Case,Washington; New York and Region,709,http://www.nytimes.com/2000/11/29/nyregion/judge-orders-confiscation-of-papers-in-terrorism-case.html,11/29/00,140
"In Terrorism Trial, Just Picking the Jurors Is a Challenge",Washington; New York and Region,1514,http://www.nytimes.com/2000/12/03/nyregion/in-terrorism-trial-just-picking-the-jurors-is-a-challenge.html,12/3/00,141
Jordan Plans New Terror Trial Of Muslim Militant Syria Seized,World,442,http://www.nytimes.com/2000/12/05/world/jordan-plans-new-terror-trial-of-muslim-militant-syria-seized.html,12/5/00,142
Suspect in New Year's Terror Plot Is Arrested in Algeria,World; Washington,902,http://www.nytimes.com/2000/12/07/world/suspect-in-new-year-s-terror-plot-is-arrested-in-algeria.html,12/7/00,143
U.S. and Russia Ask Harsh Sanctions on Afghanistan,World; Washington,1086,http://www.nytimes.com/2000/12/08/world/us-and-russia-ask-harsh-sanctions-on-afghanistan.html,12/8/00,144
Two Primary Figures Emerge in Bombing of the Cole,World; Washington,947,http://www.nytimes.com/2000/12/08/world/two-primary-figures-emerge-in-bombing-of-the-cole.html,12/8/00,145
NEWS SUMMARY,New York and Region,1072,http://www.nytimes.com/2000/12/08/nyregion/news-summary-585505.html,12/8/00,146
"Defendant In Bombings Faking Illness, Judge Is Told",New York and Region,793,http://www.nytimes.com/2000/12/12/nyregion/defendant-in-bombings-faking-illness-judge-is-told.html,12/12/00,147
"Bombing Suspect Threatened His Interrogators, They Testify",Washington; New York and Region,541,http://www.nytimes.com/2000/12/13/nyregion/bombing-suspect-threatened-his-interrogators-they-testify.html,12/13/00,148
WORLD BRIEFING,World,1139,http://www.nytimes.com/2000/12/13/world/world-briefing.html,12/13/00,149
Yemenis Say Saudi Man Is Top Suspect In Cole Attack,World; Washington,772,http://www.nytimes.com/2000/12/13/world/yemenis-say-saudi-man-is-top-suspect-in-cole-attack.html,12/13/00,150
NEWS SUMMARY,New York and Region,1196,http://www.nytimes.com/2000/12/15/nyregion/news-summary-702285.html,12/15/00,151
"Fearing Terrorism, U.S. Keeps Consulates in Turkey Closed",World; Washington,412,http://www.nytimes.com/2000/12/15/world/fearing-terrorism-us-keeps-consulates-in-turkey-closed.html,12/15/00,152
Yemeni on Delicate Path in bin Laden Hunt,World; Washington,1419,http://www.nytimes.com/2000/12/15/world/yemeni-on-delicate-path-in-bin-laden-hunt.html,12/15/00,153
Judge Rules Defendant's Amnesia Is Feigned in Terror Case,Washington; New York and Region,657,http://www.nytimes.com/2000/12/16/nyregion/judge-rules-defendant-s-amnesia-is-feigned-in-terror-case.html,12/16/00,154
One Sheik's Mission: To Teach the Young to Despise Western Culture,World,2379,http://www.nytimes.com/2000/12/17/world/one-sheik-s-mission-to-teach-the-young-to-despise-western-culture.html,12/17/00,155
Ripples From Afghanistan,Opinion,473,http://www.nytimes.com/2000/12/17/opinion/ripples-from-afghanistan.html,12/17/00,156
A Sheik's Lessons: Hatred for the West,World,111,http://www.nytimes.com/2000/12/17/world/a-sheik-s-lessons-hatred-for-the-west.html,12/17/00,157
Foreign Affairs; The Powell Perplex,Opinion,753,http://www.nytimes.com/2000/12/19/opinion/foreign-affairs-the-powell-perplex.html,12/19/00,158
Tough Sanctions Imposed on Taliban Government Split U.N.,World; Washington,909,http://www.nytimes.com/2000/12/20/world/tough-sanctions-imposed-on-taliban-government-split-un.html,12/20/00,159
Government Says Attack on Guard Was Part of Escape Plan,Washington; New York and Region,827,http://www.nytimes.com/2000/12/21/nyregion/government-says-attack-on-guard-was-part-of-escape-plan.html,12/21/00,160
WORLD BRIEFING,World,857,http://www.nytimes.com/2000/12/21/world/world-briefing.html,12/21/00,161
INSIDE,Front Page; New York and Region,83,http://www.nytimes.com/2000/12/22/nyregion/inside-106135.html,12/22/00,162
Informer's Part in Terror Case Is Detailed,Washington; New York and Region,1000,http://www.nytimes.com/2000/12/22/nyregion/informer-s-part-in-terror-case-is-detailed.html,12/22/00,163
U.N. Workers Return to Afghanistan After Taliban Safety Pledge,World,548,http://www.nytimes.com/2000/12/25/world/un-workers-return-to-afghanistan-after-taliban-safety-pledge.html,12/25/00,164
World Briefing,World,1140,http://www.nytimes.com/2000/12/29/world/world-briefing.html,12/29/00,165
"Where bin Laden Has Roots, His Mystique Grows",World,1475,http://www.nytimes.com/2000/12/31/world/where-bin-laden-has-roots-his-mystique-grows.html,12/31/00,166
Corrections,Corrections; New York and Region,45,http://www.nytimes.com/2001/01/01/nyregion/c-corrections-240559.html,1/1/01,167
First Day of Jury Selection In U.S. Embassy Bombings,Washington; New York and Region,800,http://www.nytimes.com/2001/01/03/nyregion/first-day-of-jury-selection-in-us-embassy-bombings.html,1/3/01,168
Jury Selection in Embassy Bombing Case Faces Hardship Challenges,Washington; New York and Region,851,http://www.nytimes.com/2001/01/04/nyregion/jury-selection-in-embassy-bombing-case-faces-hardship-challenges.html,1/4/01,169
Yemen Cites Complicity of 6 in Cole Attack,World,216,http://www.nytimes.com/2001/01/05/world/yemen-cites-complicity-of-6-in-cole-attack.html,1/5/01,170
U.S. Embassy In Rome Sends Staff Home After Threat,World,321,http://www.nytimes.com/2001/01/06/world/us-embassy-in-rome-sends-staff-home-after-threat.html,1/6/01,171
Security Threat Keeps U.S. Embassy in Rome Closed,World; Washington,291,http://www.nytimes.com/2001/01/08/world/security-threat-keeps-us-embassy-in-rome-closed.html,1/8/01,172
Cole Suspect Tells of Link To bin Laden,World,294,http://www.nytimes.com/2001/01/09/world/cole-suspect-tells-of-link-to-bin-laden.html,1/9/01,173
Bin Laden Shown on TV Tape Smiling at His Son's Wedding,World,283,http://www.nytimes.com/2001/01/11/world/bin-laden-shown-on-tv-tape-smiling-at-his-son-s-wedding.html,1/11/01,174
NEWS SUMMARY,New York and Region,1045,http://www.nytimes.com/2001/01/13/nyregion/news-summary-422754.html,1/13/01,175
U.S. to Offer Detailed Trail Of bin Laden in Bomb Trial,Front Page; Washington; New York and Region,1582,http://www.nytimes.com/2001/01/13/nyregion/us-to-offer-detailed-trail-of-bin-laden-in-bomb-trial.html,1/13/01,176
One Man and a Global Web of Violence,World,6228,http://www.nytimes.com/2001/01/14/world/one-man-and-a-global-web-of-violence.html,1/14/01,177
NEWS SUMMARY,New York and Region,477,http://www.nytimes.com/2001/01/14/nyregion/news-summary-437697.html,1/14/01,179
NEWS SUMMARY,New York and Region,1139,http://www.nytimes.com/2001/01/15/nyregion/news-summary-447072.html,1/15/01,180
